ind,type,regex,randomString
11,email,"^[a-zA-Z]+(([\'\,\.\- ][a-zA-Z ])?[a-zA-Z]*)*\s+&lt;(\w[-._\w]*\w@\w[-._\w]*\w\.\w{2,3})&gt;$|^(\w[-._\w]*\w@\w[-._\w]*\w\.\w{2,3})$",Mb7E@HOkN.5M
13,email,"\w+([-+.]\w+)*@\w+([-.]\w+)*\.\w+([-.]\w+)*([,;]\s*\w+([-+.]\w+)*@\w+([-.]\w+)*\.\w+([-.]\w+)*)*","eb7PwKM.URg54OLs@mVh8Cr1F9e.OqFL-WSHPo6qP.HtYP5vlFbz.h_aTe-ejLT-WE0N21-nG0jcWw-0Jnk3dg8V.ZoTi-evvV.p6Gk4QyW.mkKfz-R-SfA-O.FpaB._yMyC85jT.ANbIYNHv-wUVwvJ1Cto.nPGISYRA-B;   TP1.1Td7up-jrQ.FmzUT8g-ayT3d+K3.0Lk.EcubIL-gxbJA+ag9R7VjEh@dGF-BrH9cv9P-INtUKdnH_-QeKa4z.ciMnvfmHQv-EQ-gpNTfknH-TBGWg.0I5.UAGE.uNc4y1AqZS.pWjrxBxk91.Ze.Zw.KdUnSeRr; 2m+6Xh7HexoJj+rlCJo.VnL8Eqzri.XINnhI-uGcuLpP+SHZrkPdJm@N2BGei.f25-gSgYJ.7qoCTw.1nwus02Ni-XsHS5Ogk-F-bCNho.IGHrlrc3, 	OSQ7k5D52-BMBdFF-re-t7s_h07m-DJLpUuYwz5+bZ7hmsraLf-6ee+UrV9gZ0Y.gNIXxs2j@_EK.CATcfEQaV.3FaM0A.WWa.SuZY,  	 HDz3V-ME50+6I0b_P+luumq_wUc+Hh.Cd7Z.0mr1U3Bh5r-9wfjw+My1dBRk@xvMIoaCI34-XQ-jAgZzPWqc.SWkuS2vF.Sq.UnfswpUPek.oRE-l_OODC.roHJPC_k.0_JE-5eo6dGl.FSoAh-Ha48z-uS,0-LX+NOwS4aWeD-kc8G-1-DbDTLHJ-2G46Z.F@32k-Q.YYwrPuO.P44ZJt.e.GgZp1d9Mtu-Iimm9S-J5Z73Cgm-YqK"
14,email,"^\w+@[a-zA-Z_]+?\.[a-zA-Z]{2,3}$",zer@QvtbfU.pUz
16,email,"^([a-zA-Z0-9_\-\.]+)@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.)|(([a-zA-Z0-9\-]+\.)+))([a-zA-Z]{2,4}|[0-9]{1,3})(\]?)$",GeqH-h8SS@lYKZn.fN.HtjP.5YjMZ.qRJc3P.vwFczqjq.ga
17,email,"^[\w-]+(?:\.[\w-]+)*@(?:[\w-]+\.)+[a-zA-Z]{2,7}$",wfkZOw.ZxRMKKS4V.G8X.U4o3G.sp.2_wTW5w.yCupHwJEV@4oRLE_.BZqxcre
18,email,^[\n &lt;&quot;']*([a-zA-Z0-9._-]+@[a-zA-Z0-9._-]+),&'&&uuVqHp58yp@Ab-
19,email,"^(([-\w \.]+)|(&quot;&quot;[-\w \.]+&quot;&quot;) )?&lt;([\w\-\.]+)@((\[([0-9]{1,3}\.){3}[0-9]{1,3}\])|(([\w\-]+\.)+)([a-zA-Z]{2,4}))&gt;$",&quot;&quot;k7&quot;&quot; &lt;GEe0CGB@lLrjiUt.Pyit&gt;
20,email,"^([0-9a-zA-Z]([-.\w]*[0-9a-zA-Z])*@(([0-9a-zA-Z])+([-\w]*[0-9a-zA-Z])*\.)+[a-zA-Z]{2,9})$",lfF0@ahdMaSFHgWjC1mk6HAwLJivw1_IJ5xLG7mT4dLxVS0-VIdbL.Pc2L2Bc6pdiNhYXkpeUzNW-vXSqYC8CJpAKS01clNY5dbMtxlr.yd9KmPRjomaJAPJdNWmZUcmh4U9_eamL7r.U6kxosWsxMrU7e.ksSw87CeuytNUEtET8.gzYsWIz1gEZMXESn3sq0qiOHu6FhXtGKmMvOcnvarU.ogIlx
21,email,(\w+?@\w+?\x2E.+),X5VI@VtrVq5qq./v Q!/	`i
22,email,"^[_a-zA-Z0-9-]+(\.[_a-zA-Z0-9-]+)*@[a-zA-Z0-9-]+(\.[a-zA-Z0-9-]+)*\.(([0-9]{1,3})|([a-zA-Z]{2,3})|(aero|coop|info|museum|name))$",9Yi@BQ.cSG
23,email,"^[\w\.=-]+@[\w\.-]+\.[\w]{2,3}$",uKJtTH9tH@ZuJSN.V_H
25,email,"^(?:[a-zA-Z0-9_'^&amp;/+-])+(?:\.(?:[a-zA-Z0-9_'^&amp;/+-])+)*@(?:(?:\[?(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?))\.){3}(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\]?)|(?:[a-zA-Z0-9-]+\.)+(?:[a-zA-Z]){2,}\.?)$",5pwIbFp@[253.9.[251.80]
28,email,"^\W{0,5}[Rr]e:\W[a-zA-Z0-9]{1,10},\W[a-z]{1,10}\W[a-z]{1,10}\W[a-z]{1,10}",":Re:?8nsp1cP,.yoeloar:kkpyx.jvjqs"
29,email,"^[a-z0-9][a-z0-9_\.-]{0,}[a-z0-9]@[a-z0-9][a-z0-9_\.-]{0,}[a-z0-9][\.][a-z0-9]{2,4}$",9e@s1_f86.dpiz
30,email,"^((\""[^\""\f\n\r\t\v\b]+\"")|([\w\!\#\$\%\&\'\*\+\-\~\/\^\`\|\{\}]+(\.[\w\!\#\$\%\&\'\*\+\-\~\/\^\`\|\{\}]+)*))@((\[(((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9])))\])|(((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9])))|((([A-Za-z0-9\-])+\.)+[A-Za-z\-]+))$",f.XG&|.u@[253.1.6.049]
31,email,"^([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5})$",-zdQG.TcIk@lf.ycYhj
32,email,"^((?:(?:(?:\w[\.\-\+]?)*)\w)+)\@((?:(?:(?:\w[\.\-\+]?){0,62})\w)+)\.(\w{2,6})$",C-S_-3-jVLe+ece-g.6F-gM1+Z+y9-eq.UMXz-5N+00.bb.L@T.ol-9tA4.E+u-NgB+x+T.Dg.f.B+Z-h+WjL7_f-6T0-ea4d-F.e.OLCB7
33,email,"^([\w\-\.]+)@((\[([0-9]{1,3}\.){3}[0-9]{1,3}\])|(([\w\-]+\.)+)([a-zA-Z]{2,4}))$",iCzRuexHJ@5ZP7B.QYJ0ZM.rw.jSK8O8b.9fAp8ILOY.gPuD
34,email,"^[\w-]+(\.[\w-]+)*@([a-z0-9-]+(\.[a-z0-9-]+)*?\.[a-z]{2,6}|(\d{1,3}\.){3}\d{1,3})(:\d{4})?$",Z7X.vPbW5w3P.hU.k3c.zqBu.MssF.unb@198.246.1.0:3020
35,email,"^((([a-zA-Z\'\.\-]+)?)((,\s*([a-zA-Z]+))?)|([A-Za-z0-9](([_\.\-]?[a-zA-Z0-9]+)*)@([A-Za-z0-9]+)(([\.\-]?[a-zA-Z0-9]+)*)\.([A-Za-z]{2,})))(;{1}(((([a-zA-Z\'\.\-]+){1})((,\s*([a-zA-Z]+))?))|([A-Za-z0-9](([_\.\-]?[a-zA-Z0-9]+)*)@([A-Za-z0-9]+)(([\.\-]?[a-zA-Z0-9]+)*)\.([A-Za-z]{2,})){1}))*$",FPvfJV;fGFLmcXNB76eymxYUH@R509hwqJ37eEqkjGdcKS-GZnzaWU.FyVQ4oKyCSC-tNdZRcBgTp.kacbQgPxwt;CZgZr;V.nINuDi2JkKPCeLN4kvG7blRT_0EsC2Oiv_ni35jBlaR1u.NqXiFG@vR.zvC4X3zSoEaoRmj-k1cL9y3TtuLIup.282dQ.HnVn;sawac;CV
37,url,"((http\://|https\://|ftp\://)|(www.))+(([a-zA-Z0-9\.-]+\.[a-zA-Z]{2,4})|([0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}))(/[a-zA-Z0-9%:/-_\?\.'~]*)?",ftp://http://https://wwwIwww[wwwhttp://https://9Qeg3Axc.kZSz/j^gFU\EC
38,url,"^((?:2[0-5]{2}|1\d{2}|[1-9]\d|[1-9])\.(?:(?:2[0-5]{2}|1\d{2}|[1-9]\d|\d)\.){2}(?:2[0-5]{2}|1\d{2}|[1-9]\d|\d)):(\d|[1-9]\d|[1-9]\d{2,3}|[1-5]\d{4}|6[0-4]\d{3}|654\d{2}|655[0-2]\d|6553[0-5])$",37.251.250.0:1
39,url,"^((([0-9A-Fa-f]{1,4}:){7}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}:[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){5}:([0-9A-Fa-f]{1,4}:)?[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){4}:([0-9A-Fa-f]{1,4}:){0,2}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){3}:([0-9A-Fa-f]{1,4}:){0,3}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){2}:([0-9A-Fa-f]{1,4}:){0,4}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}((\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b)\.){3}(\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b))|(([0-9A-Fa-f]{1,4}:){0,5}:((\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b)\.){3}(\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b))|(::([0-9A-Fa-f]{1,4}:){0,5}((\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b)\.){3}(\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b))|([0-9A-Fa-f]{1,4}::([0-9A-Fa-f]{1,4}:){0,5}[0-9A-Fa-f]{1,4})|(::([0-9A-Fa-f]{1,4}:){0,6}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){1,7}:))$",63:F8::8C0
48,url,(^\d{3}\x2E\d{3}\x2E\d{3}\x2D\d{2}$),120.708.427-41
49,url,"^(((ht|f)tp(s?))\://)?(www.|[a-zA-Z].)[a-zA-Z0-9\-\.]+\.(com|edu|gov|mil|net|org|biz|info|name|museum|us|ca|uk)(\:[0-9]+)*(/($|[a-zA-Z0-9\.\,\;\?\'\\\+&amp;%\$#\=~_\-]+))*$",vTPZU.com:5697:192202164:734:3:9693330:20744464//lz
50,url,^[^\\\/\?\*\&quot;\'\&gt;\&lt;\:\|]*$,^Y(
51,url,^(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])$,214.2.103.244
53,url,"^(ht|f)tp(s?)\:\/\/[a-zA-Z0-9\-\._]+(\.[a-zA-Z0-9\-\._]+){2,}(\/?)([a-zA-Z0-9\-\.\?\,\'\/\\\+&amp;%\$#_]*)?$",http://aKDsTnM.xkn3WzjP-.ss.V1p#vM#&&Q
54,url,"^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$",C.L.l.3Rp9a0m8tnp3.iKxlP
59,url,^(([a-zA-Z]:)|(\\{2}\w+)\$?)(\\(\w[\w ]*.*))+\.(jpg|JPG)$,"M:\eI\IUbfGg!7+?\yNS CVSrg\dlCYPfwGWj.Mh>~x\QM5s73\P3tqU_41@LM2,	#\zOn4GrkbRiIV\8d]hQQwH/F.jpg"
61,url,"(http|ftp|https):\/\/[\w\-_]+(\.[\w\-_]+)+([\w\-\.,@?^=%&amp;:/~\+#]*[\w\-\@?^=%&amp;/~\+#])?",https://etv3qaVT.UFd1eGTZ-G.Rx-bos.FrJ.4.W.RHb-mCn.OnV4o.r.j.G4kRw8
62,url,^(([a-zA-Z]:)|(\\{2}\w+)\$?)(\\(\w[\w ]*.*))+\.(txt|TXT)$,\\R\UrFxp\KT0YZ\6e>i/3s8j\DVXqS3:?b\uvH2eYeK\BTOPqAoN-3W+\FA-\jm+FM~*?.txt
63,url,"(?!\.)[a-z]{1,4}$",salz
64,url,(a(?:[cdefgilmnoqrstuwxz]|ero|(?:rp|si)a)|b(?:[abdefghijmnorstvwyz]iz)|c(?:[acdfghiklmnoruvxyz]|at|o(?:m|op))|d[ejkmoz]|e(?:[ceghrstu]|du)|f[ijkmor]|g(?:[abdefghilmnpqrstuwy]|ov)|h[kmnrtu]|i(?:[delmnoqrst]|n(?:fo|t))|j(?:[emop]|obs)|k[eghimnprwyz]|l[abcikrstuvy]|m(?:[acdeghklmnopqrstuvwxyz]|il|obi|useum)|n(?:[acefgilopruz]|ame|et)|o(?:m|rg)|p(?:[aefghklmnrstwy]|ro)|qa|r[eosuw]|s[abcdeghijklmnortuvyz]|t(?:[cdfghjklmnoprtvwz]|(?:rav)?el)|u[agkmsyz]|v[aceginu]|w[fs]|y[etu]|z[amw]),qa
65,url,"^(\$)?(([1-9]\d{0,2}(\,\d{3})*)|([1-9]\d*)|(0))(\.\d{2})?$",$33
66,url,^[a-zA-Z0-9]+([a-zA-Z0-9\-\.]+)?\.(com|org|net|mil|edu|COM|ORG|NET|MIL|EDU)$,3OxICNODV.COM
67,url,^(([0-2]*[0-9]+[0-9]+)\.([0-2]*[0-9]+[0-9]+)\.([0-2]*[0-9]+[0-9]+)\.([0-2]*[0-9]+[0-9]+))$,221238893135.0220271985472818750.10391089668776869.11020889979554915
69,url,"[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}",37.31.11.4
70,url,"^(http|https|ftp)\://([a-zA-Z0-9\.\-]+(\:[a-zA-Z0-9\.&amp;%\$\-]+)*@)*((25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])|localhost|([a-zA-Z0-9\-]+\.)*[a-zA-Z0-9\-]+\.(com|edu|gov|int|mil|net|org|biz|arpa|info|name|pro|aero|coop|museum|[a-zA-Z]{2}))(\:[0-9]+)*(/($|[a-zA-Z0-9\.\,\?\'\\\+&amp;%\$#\=~_\-]+))*$",ftp://glauKo:poA%o:%X9dCeT9R@CD:6R.TqZard:o:WmA8aZz:$Ot%:3F&pk.mg:U$@VXjy3j3d-S:k5:b9R:qQQ%Wplr:YZ%;s8Qo2x:$WDpHpsiJ:89ap:Ngei:;lLYYv:.:LgqMhT@p:tCOlRWC:M7Lst.:K.K-Xpm:lb-Hev:O1mlDIl:.hifeL:xG:JABs@Z1XLy@p0E:5LiWMiuvp:sz:0@UA8Z:WUm0ziF-d:NU4p:as-Dc:mHBp;:UH4jGMZX5J:m@-q:N:HcJ$CWd1@31.154.72.95:54774515:270409523:15542036:38:0:2976618961:667909:92805
72,url,"(((file|gopher|news|nntp|telnet|http|ftp|https|ftps|sftp)://)|(www\.))+(([a-zA-Z0-9\._-]+\.[a-zA-Z]{2,6})|([0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}))(/[a-zA-Z0-9\&amp;%_\./-~-]*)?",sftp://www.www.www.760.7.4.022
73,url,"^(\$|)([1-9]+\d{0,2}(\,\d{3})*|([1-9]+\d*))(\.\d{2})?$","$284382,419,217,845,641,680"
75,url,"([A-Z]:\\[^/:\*\?<>\|]+\.\w{2,6})|(\\{2}[^/:\*\?<>\|]+\.\w{2,6})",S:\zXY9Z.CceP
77,url,"^(http|https|ftp)\://([a-zA-Z0-9\.\-]+(\:[a-zA-Z0-9\.&amp;%\$\-]+)*@)?((25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])|([a-zA-Z0-9\-]+\.)*[a-zA-Z0-9\-]+\.[a-zA-Z]{2,4})(\:[0-9]+)?(/[^/][a-zA-Z0-9\.\,\?\'\\/\+&amp;%\$#\=~_\-@]*)*$","ftp://56.0.098.057/x3nI447/UZ1O-/QsXQM?Q,r+/~$/ $@+K3Mw8r/FYK-6Ie~L+Y"
78,url,^DOMAIN\\\w+$,DOMAIN\OTUJ
80,url,"^http\://[a-zA-Z0-9\-\.]+\.[a-zA-Z]{2,3}(/\S*)?$",http://IyY9IFs.aMj/%B1qDO|YF^
81,url,((mailto\:|(news|(ht|f)tp(s?))\://){1}\S+),mailto:{
82,url,"^(http|https|ftp)\://[a-zA-Z0-9\-\.]+\.[a-zA-Z]{2,3}(:[a-zA-Z0-9]*)?/?([a-zA-Z0-9\-\._\?\,\'/\\\+&amp;%\$#\=~])*$",http://EcfAsfRS.uyE
84,url,"\b([\d\w\.\/\+\-\?\:]*)((ht|f)tp(s|)\:\/\/|[\d\d\d|\d\d]\.[\d\d\d|\d\d]\.|www\.|\.tv|\.ac|\.com|\.edu|\.gov|\.int|\.mil|\.net|\.org|\.biz|\.info|\.name|\.pro|\.museum|\.co)([\d\w\.\/\%\+\-\=\&amp;\?\:\\\&quot;\'\,\|\~\;]*)\b",83f/uL0.bizgI7H
85,url,(\s|\n|^)(\w+://[^\s\n]+),B15ek://TGM;MI9KG
87,url,([^\=&]+)(?<!param1|param2|param3)\=([^\=&]+)(&)?,g/=~%RqM
88,url,9[0-9],96
89,url,"[a-zA-Z]{3,}://[a-zA-Z0-9\.]+/*[a-zA-Z0-9/\\%_.]*\?*[a-zA-Z0-9/\\%_.=&amp;]*",AjzFiJr://VmpoAKSvw///wJADx????????Qm6JlJ
90,url,^((\d|\d\d|[0-1]\d\d|2[0-4]\d|25[0-5])\.(\d|\d\d|[0-1]\d\d|2[0-4]\d|25[0-5])\.(\d|\d\d|[0-1]\d\d|2[0-4]\d|25[0-5])\.(\d|\d\d|[0-1]\d\d|2[0-4]\d|25[0-5]))$,1.252.236.63
91,url,^([a-zA-Z].*|[1-9].*)\.(((j|J)(p|P)(g|G))|((g|G)(i|I)(f|F)))$,5C.gIf
92,url,"^[^\\\./:\*\?\""<>\|]{1}[^\\/:\*\?\""<>\|]{0,254}$","K~,t[r.2Fw"
94,url,"(((ht|f)tp(s?):\/\/)|(www\.[^ \[\]\(\)\n\r\t]+)|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})\/)([^ \[\]\(\),;&quot;'&lt;&gt;\n\r\t]+)([^\. \[\]\(\),;&quot;'&lt;&gt;\n\r\t])|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})",08.2.18.2
95,url,^\\([^\\]+\\)*[^\/:*?&quot;&lt;&gt;|]?$,"\c""s\imdytd\"
96,url,"^(([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}/(DC=['\w\d\s\-\&amp;]+[,]*){2,})|((\d{1,2}|1\d\d|2[0-4]\d|25[0-5])\.(\d{1,2}|1\d\d|2[0-4]\d|25[0-5])\.(\d{1,2}|1\d\d|2[0-4]\d|25[0-5])\.(\d{1,2}|1\d\d|2[0-4]\d|25[0-5])/(DC=['\w\d\s\-\&amp;]+[,]*){2,})|((DC=['\w\d\s\-\&amp;]+[,]*){2,})$","3RGd.XTv4NdYS.0.m.D.IlL1ovDQmOv.NWJ.R.5.U8eo.VOnMj/DC=LfRFAA ,,,,,,,,DC=9bRa0I5A,,DC=D6T 	1;Z,,,,,,,,,,DC=shmHlI-NL,,DC=xG;_wOe,,,,,DC=nrGl-z,,,,,,,,,,DC=a4pO,,,,DC=V0jL8a70p,,,,,,,,DC=JU9LI7a,DC=aO0fVxdwr,,,,,"
97,url,"^(ht|f)tp((?<=http)s)?://((?<=http://)www|(?<=https://)www|(?<=ftp://)ftp)\.(([a-z][0-9])|([0-9][a-z])|([a-z0-9][a-z0-9\-]{1,2}[a-z0-9])|([a-z0-9][a-z0-9\-](([a-z0-9\-][a-z0-9])|([a-z0-9][a-z0-9\-]))[a-z0-9\-]*[a-z0-9]))\.(co|me|org|ltd|plc|net|sch|ac|mod|nhs|police|gov)\.uk(:\d+)?\/?$",ftphttps://https://www.hv24dr749.sch.uk
98,url,^[a-z]+([a-z0-9-]*[a-z0-9]+)?(\.([a-z]+([a-z0-9-]*[a-z0-9]+)?)+)*$,kxbn7kccoaxv9lp4.ioxggio2-huwu1kb3xcif838icoowavsc0av5f67vtjwlwzbisol3zjalzcqrpuagvdpilmrcz4rqfja44f0ogzzjkjhxaxiarbhmiukbd6m8sq3li
99,url,&lt;a\s*.*?href\s*=\s*['&quot;](?!http:\/\/).*?&gt;(.*?)&lt;\/a&gt;,&lt;a  	 	 yu4;#m<href 	=   '%&gt;*s.1cT?Ay&lt;/a&gt;
