Program Code,Program Title,Category Code,Category Title,Four Digit Code,Four Digit Title,Note,Warehouse Load Date,Version
510814,Radiologist Assistant,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5108,Allied Health and Medical Assisting Services,New in 2010,06/11/14 08:42 AM,2010
510900,Health and Medical Diagnostic and Treatment Services,51,HEALTH PROFESSIONS AND RELATED SCIENCES,5109,Health and Medical Diagnostic and Treatment Services,"",06/11/14 08:42 AM,1990
510908,Respiratory Care Therapy/Therapist,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions","",06/11/14 08:42 AM,2010
510915,Cardiopulmonary Technology/Technologist,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions","",06/11/14 08:42 AM,2010
511201,Medicine,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5112,Medicine,"",06/11/14 08:42 AM,2010
511304,Medical Biophysics,51,HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES,5113,Medical Basic Sciences,"",06/11/14 08:42 AM,2000
511313,Medical Physiology,51,HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES,5113,Medical Basic Sciences,"",06/11/14 08:42 AM,2000
511401,Medical Scientist,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5114,Medical Clinical Sciences/Graduate Medical Studies,"",06/11/14 08:42 AM,2010
511503,Clinical/Medical Social Work,51,HEALTH PROFESSIONS AND RELATED PROGRAMS,5115,Mental and Social Health Services and Allied Professions,"",06/11/14 08:42 AM,2010
511611,Public Health/Community Nurse/Nursing,51,HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES,5116,Nursing,"",06/11/14 08:42 AM,2000
511615,Home Health Aide,51,HEALTH PROFESSIONS AND RELATED SCIENCES,5116,Nursing,"",06/11/14 08:42 AM,1990
511699,"Nursing, Other",51,HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES,5116,Nursing,"",06/11/14 08:42 AM,2000
511800,Ophthalmic/Optometric Services,51,HEALTH PROFESSIONS AND RELATED SCIENCES,5118,Ophthalmic/Optometric Services,"",06/11/14 08:42 AM,1990
010302,Animal/Livestock Husbandry and Production,01,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES",0103,Agricultural Production Operations,"",06/11/14 08:42 AM,2010
010603,Ornamental Horticulture,01,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES",0106,Applied Horticulture and Horticultural Business Services,"",06/11/14 08:42 AM,2010
010604,Greenhouse Operations and Management,01,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES",0106,Applied Horticulture and Horticultural Business Services,"",06/11/14 08:42 AM,2010
010802,Agricultural Communication/Journalism,01,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES",0108,Agricultural Public Services,"",06/11/14 08:42 AM,2010
010902,Agricultural Animal Breeding,01,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES",0109,Animal Sciences,"",06/11/14 08:42 AM,2010
011104,Agricultural and Horticultural Plant Breeding,01,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES",0111,Plant Sciences,"",06/11/14 08:42 AM,2010
020202,Agricultural Animal Breeding and Genetics,02,AGRICULTURAL SCIENCES,0202,Animal Sciences,"",06/11/14 08:42 AM,1990
020204,Agricultural Animal Nutrition,02,AGRICULTURAL SCIENCES,0202,Animal Sciences,"",06/11/14 08:42 AM,1990
020205,Agricultural Animal Physiology,02,AGRICULTURAL SCIENCES,0202,Animal Sciences,"",06/11/14 08:42 AM,1990
020299,"Animal Sciences, Other",02,AGRICULTURAL SCIENCES,0202,Animal Sciences,"",06/11/14 08:42 AM,1990
020408,Plant Protection (Pest Management),02,AGRICULTURAL SCIENCES,0204,Plant Sciences,"",06/11/14 08:42 AM,1990
020501,Soil Sciences,02,AGRICULTURAL SCIENCES,0205,Soil Sciences,"",06/11/14 08:42 AM,1990
030100,Natural Resources Conservation,03,CONSERVATION AND RENEWABLE NATURAL RESOURCES,0301,Natural Resources Conservation,"",06/11/14 08:42 AM,1990
030103,Environmental Studies,03,NATURAL RESOURCES AND CONSERVATION,0301,Natural Resources Conservation and Research,"",06/11/14 08:42 AM,2010
030207,Natural Resource Recreation and Tourism,03,NATURAL RESOURCES AND CONSERVATION,0302,Natural Resources Management and Policy,New in 2010,06/11/14 08:42 AM,2010
030500,Forestry and Related Sciences,03,CONSERVATION AND RENEWABLE NATURAL RESOURCES,0305,Forestry and Related Sciences,"",06/11/14 08:42 AM,1990
030601,"Wildlife, Fish and Wildlands Science and Management",03,NATURAL RESOURCES AND CONSERVATION,0306,Wildlife and Wildlands Science and Management,"",06/11/14 08:42 AM,2010
040200,Architecture,04,ARCHITECTURE AND RELATED PROGRAMS,0402,Architecture,"",06/11/14 08:42 AM,1990
040501,Interior Architecture,04,ARCHITECTURE AND RELATED SERVICES,0405,Interior Architecture,"",06/11/14 08:42 AM,2010
040902,Architectural and Building Sciences/Technology,04,ARCHITECTURE AND RELATED SERVICES,0409,Architectural Sciences and Technology,New in 2010,06/11/14 08:42 AM,2010
041001,Real Estate Development,04,ARCHITECTURE AND RELATED SERVICES,0410,Real Estate Development,New in 2010,06/11/14 08:42 AM,2010
050114,Western European Studies,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",0501,Area Studies,"",06/11/14 08:42 AM,2010
050200,Ethnic Studies,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",0502,"Ethnic, Cultural Minority, Gender, and Group Studies",New in 2010,06/11/14 08:42 AM,2010
050203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies",05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",0502,"Ethnic, Cultural Minority, Gender, and Group Studies","",06/11/14 08:42 AM,2010
050204,Islamic Studies,05,"AREA, ETHNIC AND CULTURAL STUDIES",0502,Ethnic and Cultural Studies,"",06/11/14 08:42 AM,1990
050208,Gay/Lesbian Studies,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",0502,"Ethnic, Cultural Minority, Gender, and Group Studies","",06/11/14 08:42 AM,2010
050210,Disability Studies,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",0502,"Ethnic, Cultural Minority, Gender, and Group Studies",New in 2010,06/11/14 08:42 AM,2010
050299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other",05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES",0502,"Ethnic, Cultural Minority, Gender, and Group Studies","",06/11/14 08:42 AM,2010
059999,"Area, Ethnic, Cultural, and Gender Studies, Other",05,"AREA, ETHNIC, CULTURAL, AND GENDER STUDIES",0599,"Area, Ethnic, Cultural, and Gender Studies, Other","",06/11/14 08:42 AM,2000
080100,Apparel and Accessories Marketing Operations,08,MARKETING OPERATIONS/MARKETING AND DISTRIBUTION,0801,Apparel and Accessories Marketing Operations,"",06/11/14 08:42 AM,1990
080600,Food Products Retailing and Wholesaling Operations,08,MARKETING OPERATIONS/MARKETING AND DISTRIBUTION,0806,Food Products Retailing and Wholesaling Operations,"",06/11/14 08:42 AM,1990
080701,Auctioneering,08,MARKETING OPERATIONS/MARKETING AND DISTRIBUTION,0807,General/Retailing and Wholesaling Operations and Skills,"",06/11/14 08:42 AM,1990
080800,Home and Office Products Marketing Operations,08,MARKETING OPERATIONS/MARKETING AND DISTRIBUTION,0808,Home and Office Products Marketing Operations,"",06/11/14 08:42 AM,1990
089999,"Marketing Operations/Marketing and Distribution, Other",08,MARKETING OPERATIONS/MARKETING AND DISTRIBUTION,0899,"Marketing Operations/Marketing and Distribution, Other","",06/11/14 08:42 AM,1990
090101,Speech Communication and Rhetoric,09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",0901,Communication and Media Studies,"",06/11/14 08:42 AM,2010
090199,"Communication and Media Studies, Other",09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",0901,Communication and Media Studies,"",06/11/14 08:42 AM,2010
090402,Broadcast Journalism,09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",0904,Journalism,"",06/11/14 08:42 AM,2010
090499,"Journalism, Other",09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",0904,Journalism,"",06/11/14 08:42 AM,2010
090500,Public Relations and Organizational Communications,09,COMMUNICATIONS,0905,Public Relations and Organizational Communications,"",06/11/14 08:42 AM,1990
090701,Radio and Television,09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",0907,"Radio, Television, and Digital Communication","",06/11/14 08:42 AM,2010
090904,Political Communication,09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",0909,"Public Relations, Advertising, and Applied Communication","",06/11/14 08:42 AM,2010
090905,Health Communication,09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",0909,"Public Relations, Advertising, and Applied Communication","",06/11/14 08:42 AM,2010
099900,"Communications, Other",09,COMMUNICATIONS,0999,"Communications, Other","",06/11/14 08:42 AM,1990
100203,Recording Arts Technology/Technician,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES,1002,Audiovisual Communications Technologies/Technicians,"",06/11/14 08:42 AM,2010
100304,"Animation, Interactive Technology, Video Graphics and Special Effects",10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES,1003,Graphic Communications,"",06/11/14 08:42 AM,2010
110203,"Computer Programming, Vendor/Product Certification",11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,1102,Computer Programming,"",06/11/14 08:42 AM,2010
110601,"Data Entry/Microcomputer Applications, General",11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,1106,Data Entry/Microcomputer Applications,"",06/11/14 08:42 AM,2010
111001,Network and System Administration/Administrator,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,1110,Computer/Information Technology Administration and Management,"",06/11/14 08:42 AM,2010
111003,Computer and Information Systems Security/Information Assurance,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,1110,Computer/Information Technology Administration and Management,"",06/11/14 08:42 AM,2010
120204,Umpires and Other Sports Officials,12,PERSONAL AND MISCELLANEOUS SERVICES,1202,Gaming and Sports Officiating,"",06/11/14 08:42 AM,1990
120299,"Gaming and Sports Officiating Services, Other",12,PERSONAL AND MISCELLANEOUS SERVICES,1202,Gaming and Sports Officiating,"",06/11/14 08:42 AM,1990
120400,Cosmetic Services,12,PERSONAL AND MISCELLANEOUS SERVICES,1204,Cosmetic Services,"",06/11/14 08:42 AM,1990
120409,Aesthetician/Esthetician and Skin Care Specialist,12,PERSONAL AND CULINARY SERVICES,1204,Cosmetology and Related Personal Grooming Services,"",06/11/14 08:42 AM,2010
120411,Permanent Cosmetics/Makeup and Tattooing,12,PERSONAL AND CULINARY SERVICES,1204,Cosmetology and Related Personal Grooming Services,"",06/11/14 08:42 AM,2010
120506,Meat Cutting/Meat Cutter,12,PERSONAL AND CULINARY SERVICES,1205,Culinary Arts and Related Services,"",06/11/14 08:42 AM,2010
130301,Curriculum and Instruction,13,EDUCATION,1303,Curriculum and Instruction,"",06/11/14 08:42 AM,2010
130406,Higher Education/Higher Education Administration,13,EDUCATION,1304,Educational Administration and Supervision,"",06/11/14 08:42 AM,2010
131014,Education/Teaching of Individuals Who are Developmentally Delayed,13,EDUCATION,1310,Special Education and Teaching,"",06/11/14 08:42 AM,2010
131019,Education/Teaching of Individuals in Secondary Special Education Programs,13,EDUCATION,1310,Special Education and Teaching,New in 2010,06/11/14 08:42 AM,2010
131207,Montessori Teacher Education,13,EDUCATION,1312,"Teacher Education and Professional Development, Specific Levels and Methods","",06/11/14 08:42 AM,2010
131305,English/Language Arts Teacher Education,13,EDUCATION,1313,"Teacher Education and Professional Development, Specific Subject Areas","",06/11/14 08:42 AM,2010
131306,Foreign Language Teacher  Education,13,EDUCATION,1313,"Teacher Education and Professional Development, Specific Subject Areas","",06/11/14 08:42 AM,2010
131311,Mathematics Teacher Education,13,EDUCATION,1313,"Teacher Education and Professional Development, Specific Subject Areas","",06/11/14 08:42 AM,2010
131318,Social Studies Teacher Education,13,EDUCATION,1313,"Teacher Education and Professional Development, Specific Subject Areas","",06/11/14 08:42 AM,2010
131323,Chemistry Teacher Education,13,EDUCATION,1313,"Teacher Education and Professional Development, Specific Subject Areas","",06/11/14 08:42 AM,2010
131324,Drama and Dance Teacher Education,13,EDUCATION,1313,"Teacher Education and Professional Development, Specific Subject Areas","",06/11/14 08:42 AM,2010
131326,German Language Teacher Education,13,EDUCATION,1313,"Teacher Education and Professional Development, Specific Subject Areas","",06/11/14 08:42 AM,2010
131338,Environmental Education,13,EDUCATION,1313,"Teacher Education and Professional Development, Specific Subject Areas",New in 2010,06/11/14 08:42 AM,2010
131499,"Teaching English or French as a Second or Foreign Language, Other",13,EDUCATION,1314,Teaching English or French as a Second or Foreign Language,"",06/11/14 08:42 AM,2010
140200,"Aerospace, Aeronautical and Astronautical Engineering",14,ENGINEERING,1402,"Aerospace, Aeronautical and Astronautical Engineering","",06/11/14 08:42 AM,1990
140802,Geotechnical and Geoenvironmental Engineering,14,ENGINEERING,1408,Civil Engineering,"",06/11/14 08:42 AM,2010
140900,Computer Engineering,14,ENGINEERING,1409,Computer Engineering,"",06/11/14 08:42 AM,1990
140902,Computer Hardware Engineering,14,ENGINEERING,1409,Computer Engineering,"",06/11/14 08:42 AM,2010
141000,"Electrical, Electronics and Communications Engineering",14,ENGINEERING,1410,"Electrical, Electronics and Communications Engineering","",06/11/14 08:42 AM,1990
141201,Engineering Physics/Applied Physics,14,ENGINEERING,1412,Engineering Physics,"",06/11/14 08:42 AM,2010
141400,Environmental/Environmental Health Engineering,14,ENGINEERING,1414,Environmental/Environmental Health Engineering,"",06/11/14 08:42 AM,1990
141800,Materials Engineering,14,ENGINEERING,1418,Materials Engineering,"",06/11/14 08:42 AM,1990
141901,Mechanical Engineering,14,ENGINEERING,1419,Mechanical Engineering,"",06/11/14 08:42 AM,2010
142501,Petroleum Engineering,14,ENGINEERING,1425,Petroleum Engineering,"",06/11/14 08:42 AM,2010
142901,Engineering Design,14,ENGINEERING,1429,Engineering Design,"",06/11/14 08:42 AM,1990
144001,Paper Science and Engineering,14,ENGINEERING,1440,Paper Science and Engineering,New in 2010,06/11/14 08:42 AM,2010
144301,Biochemical Engineering,14,ENGINEERING,1443,Biochemical Engineering,New in 2010,06/11/14 08:42 AM,2010
150403,Electromechanical Technology/Electromechanical Engineering Technology,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,1504,Electromechanical Instrumentation and Maintenance Technologies/Technicians,"",06/11/14 08:42 AM,2010
150614,Welding Engineering Technology/Technician,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,1506,Industrial Production Technologies/Technicians,New in 2010,06/11/14 08:42 AM,2010
150615,Chemical Engineering Technology/Technician,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,1506,Industrial Production Technologies/Technicians,New in 2010,06/11/14 08:42 AM,2010
151302,CAD/CADD Drafting and/or Design Technology/Technician,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,1513,Drafting/Design Engineering Technologies/Technicians,"",06/11/14 08:42 AM,2010
151303,Architectural Drafting and Architectural CAD/CADD,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,1513,Drafting/Design Engineering Technologies/Technicians,"",06/11/14 08:42 AM,2010
151304,Civil Drafting and Civil Engineering CAD/CADD,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,1513,Drafting/Design Engineering Technologies/Technicians,"",06/11/14 08:42 AM,2010
151306,Mechanical Drafting and Mechanical Drafting CAD/CADD,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,1513,Drafting/Design Engineering Technologies/Technicians,"",06/11/14 08:42 AM,2010
151503,Packaging Science,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS,1515,Engineering-Related Fields,New in 2010,06/11/14 08:42 AM,2010
160103,Language Interpretation and Translation,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS",1601,"Linguistic, Comparative, and Related Language Studies and Services","",06/11/14 08:42 AM,2010
160300,"East Asian Languages, Literatures, and Linguistics, General",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS",1603,"East Asian Languages, Literatures, and Linguistics","",06/11/14 08:42 AM,2010
160403,Slavic Languages and Literatures (Other Than Russian),16,FOREIGN LANGUAGES AND LITERATURES,1604,East European Languages and Literatures,"",06/11/14 08:42 AM,1990
160599,"Germanic Languages, Literatures, and Linguistics, Other",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS",1605,"Germanic Languages, Literatures, and Linguistics","",06/11/14 08:42 AM,2010
1607 S,"",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS",1607,"South Asian Languages, Literatures, and Linguistics","",06/11/14 08:42 AM,2000
160704,Bengali Language and Literature,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS",1607,"South Asian Languages, Literatures, and Linguistics","",06/11/14 08:42 AM,2010
160905,Spanish Language and Literature,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS",1609,"Romance Languages, Literatures, and Linguistics","",06/11/14 08:42 AM,2010
161502,"Uralic Languages, Literatures, and Linguistics",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS",1615,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics","",06/11/14 08:42 AM,2010
190501,"Foods, Nutrition, and Wellness Studies, General",19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,1905,"Foods, Nutrition, and Related Services","",06/11/14 08:42 AM,2010
190503,Dietetics/Human Nutritional Services,19,HOME ECONOMICS,1905,Foods and Nutrition Studies,"",06/11/14 08:42 AM,1990
190702,Adult Development and Aging,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,1907,"Human Development, Family Studies, and Related Services","",06/11/14 08:42 AM,2010
200000,VOCATIONAL HOME ECONOMICS,20,VOCATIONAL HOME ECONOMICS,2000,VOCATIONAL HOME ECONOMICS,"",06/11/14 08:42 AM,1990
220100,Law and Legal Studies,22,LAW AND LEGAL STUDIES,2201,Law and Legal Studies,"",06/11/14 08:42 AM,1990
220206,Comparative Law,22,LEGAL PROFESSIONS AND STUDIES,2202,Legal Research and Advanced Professional Studies,"",06/11/14 08:42 AM,2010
220209,International Law and Legal Studies,22,LEGAL PROFESSIONS AND STUDIES,2202,Legal Research and Advanced Professional Studies,"",06/11/14 08:42 AM,2010
230701,American Literature (United States),23,ENGLISH LANGUAGE AND LITERATURE/LETTERS,2307,American Literature (United States and Canadian,"",06/11/14 08:42 AM,2000
230702,American Literature (Canadian),23,ENGLISH LANGUAGE AND LITERATURE/LETTERS,2307,American Literature (United States and Canadian,New in 2000,06/11/14 08:42 AM,2000
231000,Speech and Rhetorical Studies,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS,2310,Speech and Rhetorical Studies,"",06/11/14 08:42 AM,1990
231001,Speech and Rhetorical Studies,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS,2310,Speech and Rhetorical Studies,"",06/11/14 08:42 AM,2000
231301,"Writing, General",23,ENGLISH LANGUAGE AND LITERATURE/LETTERS,2313,Rhetoric and Composition/Writing Studies,New in 2010,06/11/14 08:42 AM,2010
259999,"Library Science, Other",25,LIBRARY SCIENCE,2599,"Library Science, Other","",06/11/14 08:42 AM,2010
260000,BIOLOGICAL SCIENCES/LIFE SCIENCES,26,BIOLOGICAL SCIENCES/LIFE SCIENCES,2600,BIOLOGICAL SCIENCES/LIFE SCIENCES,"",06/11/14 08:42 AM,1990
260100,"Biology, General",26,BIOLOGICAL SCIENCES/LIFE SCIENCES,2601,"Biology, General","",06/11/14 08:42 AM,1990
260102,"Biomedical Sciences, General",26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2601,"Biology, General","",06/11/14 08:42 AM,2010
260206,Molecular Biophysics,26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2602,"Biochemistry, Biophysics and Molecular Biology","",06/11/14 08:42 AM,2010
260301,Botany/Plant Biology,26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2603,Botany/Plant Biology,"",06/11/14 08:42 AM,2010
260404,Developmental Biology and Embryology,26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2604,Cell/Cellular Biology and Anatomical Sciences,"",06/11/14 08:42 AM,2010
260607,"Marine/Aquatic Biology (Moved, Report under 26",26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2606,Miscellaneous Biological Specializations,1302.,06/11/14 08:42 AM,2000
260802,Molecular Genetics,26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2608,Genetics,"",06/11/14 08:42 AM,2010
260907,Cardiovascular Science,26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2609,"Physiology, Pathology and Related Sciences","",06/11/14 08:42 AM,2010
260911,Oncology and Cancer Biology,26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2609,"Physiology, Pathology and Related Sciences","",06/11/14 08:42 AM,2010
260988,Medical Physiology,26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2609,"Physiology, Pathology and Related Sciences",Added to CIP 2000 by NCES for IPEDS Completion 2003,06/11/14 08:42 AM,2000
261004,Toxicology,26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2610,Pharmacology and Toxicology,"",06/11/14 08:42 AM,2010
261006,Environmental Toxicology,26,BIOLOGICAL AND BIOMEDICAL SCIENCES,2610,Pharmacology and Toxicology,"",06/11/14 08:42 AM,2010
