"short_subject_offered_summary.csv"
"Hgn Code Desc","(\W\w\w \w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w$,79.0)|(\W\w\w \w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,404.0)|(\W\w\w*** \w\w\w** \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,95.0)|(\W\w\w\w\w\w \w\w\w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,77.0)|(\W\w\w*** \w\w\w** \w\w\w\w\w\w\w\w \w\w\w\w\w\w\w$,94.0)|(\W\w\w\w\w\w \w\w\w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w$,131.0)|(\W\w\w\w\w\w \w\w\w\w\w \w\w\w\w\w\w\w\w \w\w\w\w\w\w$,124.0)"
"Offer Dept Code","(\d$,301.0)|(\d\d\W$,23.0)|(\d\d\W$,56.0)|(\d\d$,102.0)|(\d\W$,359.0)|(\W\d$,85.0)|(\d$,76.0)"
"Offer Dept Name","(\W\w\w\w\w\w\w*\W\w\w\w\w*\W\w\w\w\w\w\w\w\w\w*\W\w\w\w$,9.0)|(\W\w\w\w\w\w\w \W\w\w\w\w\w\w-\W\w\w\w\w\w\w\w\w\w $,462.0)|(\W\w\w\w\w\w\w \W\w\w\w\w- \W\w\w\w$,297.0)|(\W\w\w\w\w\w\w\w\w\w**\w\w***\W\w\w\w\w\w\w\w*\W\w\w$,5.0)|(**********\W\w\w\w\w\w\w\w\w\w\w\w\w*\W\w\w$,2.0)|(\W\w\w\w\w\w*\W\w\w\w\w***\W\w\w\w\w\w\w\w\w*\W\w\w$,43.0)|(\W\w\w\w\w\w\w \W\w\w\w\w- \W\w\w\w$,181.0)"
"Offer School Name","(\W\w\w\w**\W\w\w\w\w$,75.0)|(\W\w\w**\W\w$,160.0)|(\W\w\w*\w\W\w\w\w\w\w$,120.0)|(\W\w\w\w\w\W\W\w\w\w\w$,136.0)|(\W\w\w\w*\w\W\w*\W\w\w\w*\w\w*\W\W\W***\W\W\W$,113.0)|(\W\w\w*\W\W\W*****\W\w\w\w\w\w*\W\w\w\w\w\w\w\w$,200.0)|(\W\w\w\w*\w\w\w\w\w\w$,196.0)"
"Responsible Faculty Name","(\W\w**\w*\w\w\w\w\w\w\w, \W\w\w\w\w\w\w$,100.0)|(\W\w\w\w, \W\w\w\w\w\w\w$,81.0)|(\W\w\w\w, *\w****\w\w$,86.0)|(\W\w\w*\w\w\w\w\w\w\w, \W\w\w\w\w\w\w\w$,85.0)|(\W\w\w\w****\w, \W*\w\w*\w\w$,13.0)|(\W\w\w\w\w*, \W\w\w\w\w\w\w$,26.0)|(\W\w\w\w, \W***\w\w\w\w\w\w$,57.0)"
"Responsible Faculty Mit Id","(\d\W\d\d\d\d\d\d\d$,86.0)|(\d\d\d\d\d\d\d\d\d$,28.0)|(\d\d\d\d\d\W\d\d\d$,47.0)|(\d\d\W\d\d\d\d\d\d$,120.0)|(\d\d\d\d\d\d\d\d\d$,58.0)|(\d\d\d\d\d\d\d\d\d$,77.0)|(\W\d\d\d\W\d\d\d\d$,32.0)"
"Total Units","(\d$,444.0)|(\d\d$,94.0)|(\d\d$,95.0)|(\d\d$,35.0)|(\d\d$,62.0)|(\d$,66.0)|(\d$,210.0)"
"Lecture Units","(\d$,150.0)|(\d$,268.0)|(\d$,57.0)|(\d$,120.0)|(\d$,114.0)|(\d$,128.0)|(\d$,181.0)"
"Lab Units","(\d$,71.0)|(\d$,200.0)|(\d\d$,129.0)|(\d\d$,125.0)|(\d$,202.0)|(\d$,117.0)|(\d$,158.0)"
"Preparation Units","(\d$,144.0)|(\d$,153.0)|(\d$,99.0)|(\d$,129.0)|(\d$,196.0)|(\d$,105.0)|(\d$,174.0)"
"Subject Enrollment Number","(\d$,285.0)|(\d$,145.0)|(\d$,199.0)|(\d$,97.0)|(\d$,61.0)|(\d$,71.0)|(\d\d$,141.0)"
"Cluster Enrollment Number","(\d*$,8.0)|(\d\d$,11.0)|(\d*$,19.0)|(\d\d\d$,10.0)|(\d*$,30.0)|(\d\d$,4.0)|(\d*$,21.0)"
"Warehouse Load Date","(\d/\d/\d\d \d:\d\d$,168.0)|(\d/\d/\d\d \d:\d\d$,111.0)|(\d/\d/\d\d \d:\d\d$,190.0)|(\d/\d/\d\d \d:\d\d$,111.0)|(\d/\d/\d\d \d:\d\d$,125.0)|(\d/\d/\d\d \d:\d\d$,126.0)|(\d/\d/\d\d \d:\d\d$,168.0)"
"Num Enrolled Students","(\d$,179.0)|(\d$,109.0)|(\d\d\d$,197.0)|(\d\d$,126.0)|(\d$,127.0)|(\d$,119.0)|(\d$,144.0)"
"Subject Grouping Key","(\d\d\W\W\d\d\d\d\d\W\d\d\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,92.0)|(\d\d\W\W\d\d\d\d\d\d\d\W\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,50.0)|(\d\d\W\W\d\d\d\d\d\W\d\W\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,60.0)|(\d\d\W\W\d\d\d\d\d\d\d\d\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,61.0)|(\d\d\W\W\d\d\d\d\d\d\W\d\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,24.0)|(\d\d\W\W\d\d\d\d\d\d\W\W\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,149.0)|(\d\d\W\W\d\d\d\d\d\W\d\W\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,115.0)"
"Subject Summary Key","(\W\W\W.\d\d\d\d\d\d\d\d\W\W$,121.0)|(\W\W\W.\d\d\W\d\d\d\d\W\W\W$,115.0)|(\W\d\W.\W\d\d\d\d\d\d\W\W$,227.0)|(\d\d\W.\d\d\d\d\d\d\d\W\W\W$,47.0)|(\d\d\W.\d\d\d\d\d\d\W\d\W\W$,118.0)|(\d\W\W.\W\d\d\d\d\d\d\W\W\W$,92.0)|(\d*.\d\d\d\d\d\d\d\W\W$,279.0)"
"MOCK_DATA.csv"
"id","(\d\d\d\d$,75.0)|(\d\d\d$,91.0)|(\d\d\d$,196.0)|(\d\d\d$,190.0)|(\d\d\d$,83.0)|(\d\d\d$,221.0)|(\d\d\d$,159.0)"
"first_name","(\W\w\w\w$,651.0)|(\W\w\w\w\w\w\w\w$,101.0)|(*\w**\w\w\w\w\w$,3.0)|(\W\w\w\w\w\w\w$,64.0)|(\W\w\w\w\w\w\w$,64.0)|(\W\w\w\w\w\w\w$,36.0)|(\W\w\w\w\w\w\w\w$,81.0)"
"email","(\w\w\w\w\w\w\w\w*@\w\w\w.\w\w\w$,352.0)|(\w\w\w\w\w\d\w*\w\w\w\d@\w\w\w\w\w.\w\w\w$,71.0)|(\w\w\w\w\w\w\d\d*\w@\w\w\w\w\w*\w**\w\w.\w\w\w$,27.0)|(\w\w\w\w\w\w\w\d\w*@\w\w\w\w***\w\w\w\w.\w\w\w$,17.0)|(\w\w\w\w\d\d\w\w\d\w@\w\w\w\w\w\w\w\w\w.\w\w*$,69.0)|(\w\w\w\w\w\w\w*\w*@\w\w**\w.\w\w\w$,99.0)|(\w\w\w\w\w\w\w\w*@\w\w\w*.\w\w\w$,365.0)"
"gender","(\W\w\w\w$,145.0)|(\W\w\w\w\w\w$,59.0)|(\W\w\w\w\w\w$,80.0)|(\W\w\w\w\w\w$,151.0)|(\W\w\w\w$,400.0)|(\W\w\w\w\w\w$,63.0)|(\W\w\w\w\w\w$,102.0)"
"date","(\d/\d/\d\d\d\d$,469.0)|(\d\d/\d\d/\d\d\d\d$,114.0)|(\d\d/\d\d/\d\d\d\d$,71.0)|(\d*/\d\d/\d\d\d\d$,99.0)|(\d\d/\d*/\d\d\d\d$,74.0)|(\d\d/\d\d/\d\d\d\d$,62.0)|(\d/\d*/\d\d\d\d$,111.0)"
"date2","(\d\d/\d\d/\d\d\d\d$,137.0)|(\d\d/\d\d/\d\d\d\d$,129.0)|(\d\d/\d\d/\d\d\d\d$,124.0)|(\d\d/\d\d/\d\d\d\d$,198.0)|(\d\d/\d\d/\d\d\d\d$,141.0)|(\d\d/\d\d/\d\d\d\d$,146.0)|(\d\d/\d\d/\d\d\d\d$,125.0)"
"Sdo_coord_system.csv"
"Coord Sys Id","(\d,\d\d\d$,19.0)|(\d,\d\d\d$,20.0)|(\d,\d\d\d$,4.0)|(\d,\d\d\d$,4.0)|(*,\d\d*$,2.0)|(\d,\d\d\d$,5.0)|(\d,\d\d\d$,12.0)"
"Coord Sys Name","(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\W\w\w :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  ***********(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: ***\w, \w\w.  \W\w\W: \W\W\W.$,14.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\w :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  ***********(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: ***\w, \w\w.  \W\w\W: \w\w\w\W.$,7.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\w :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  \W\w\w\w\w\w\w\w\w\w\w(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: \W\w\w\w, *\W.  \W\w\W: \W\W\W.$,7.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\w :\W\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  ***********(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: ***\w, \w\W.  \W\w\W: \W\W\W.$,9.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\w :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  \w\w\w\w\w\w\w\w\w\w\w(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: \W\w\W\w, \w\w.  \W\w\W: ***\w\w.$,8.0)|(\W\w\w\w\w\w\w\w\w \d\W \W\W.  ****: *\w\w\w\w\w\w\w, \w\w\w\w\w\w\w (\W,*). *\w*\w\w\w\w\w\w\w\w\w: \w\w\w\w\w, \w\w\w\w.  \W\w\W: \w.$,14.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\W\W\w :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  ***********(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: \w**\w, **.  \W\w\W: \W\w\w\w.$,6.0)"
"Coord Sys Type","(\w\w\w\w\w\w\w\w\w\w\w$,11.0)|(\w\w\w\w\w\w\w\w\w$,6.0)|(\W\w\w\w\w\w\w\w\w\w\w$,14.0)|(\w\w\w\w\w\w\w\w\w\w\w$,4.0)|(\W\w\w\w\w\w\w\w\w\w\w$,9.0)|(\W\w\w\w\w\w\w\w\w\w\w$,9.0)|(\W\w\w\w\w\w\w\w\w\w\w$,12.0)"
"Dimension","(\d.\d\d$,7.0)|(\d.\d\d$,4.0)|(\d.\d\d$,9.0)|(\d.\d\d$,3.0)|(\d.\d\d$,6.0)|(\d.\d\d$,17.0)|(\d.\d\d$,19.0)"
"Information Source","(\W\W\W\W$,24.0)|(\W\W\W\W$,4.0)|(\W\W\W*$,14.0)|(\W\W\W\W$,4.0)|(\W\W\W\W$,1.0)|(\W\W\W\W$,5.0)|(\W\W\W\W$,15.0)"
"Data Source","(\W\W\W\W$,10.0)|(\W\W\W\W$,30.0)|(\W\W\W\W$,13.0)|(\W\W\W\W$,1.0)|(\W\W\W\W$,4.0)|(\W\W\W\W$,1.0)|(\W\W\W\W$,6.0)"
"Academic_terms_all.csv"
"Academic Terms Key","(\d\d\d\d\W\W$,74.0)|(\d\d\d\d\W\W$,16.0)|(\d\d\d\d\W\W$,18.0)|(\d\d\d\d\W\W$,23.0)|(\d\d\d\d\W\W$,43.0)|(\d\d\d\d\W\W$,35.0)|(\d\d\d\d\W\W$,30.0)"
"Term Code","(\d\d\d\d\W\W$,29.0)|(\d\d\d\d\W\W$,63.0)|(\d\d\d\d\W\W$,13.0)|(\d\d\d\d\W\W$,11.0)|(\d\d\d\d\W\W$,83.0)|(\d\d\d\d\W\W$,27.0)|(\d\d\d\d\W\W$,13.0)"
"Term Description","(\W\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,16.0)|(\W\w\w\w\w\w \W\w\w\w$,195.0)|(\W\w\w\w\w\w\w \W\w\w\w \d\d**-\d\d**$,3.0)|(\W\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,7.0)|(*\w**** \W\w\w\w \d\d**-\d\d\d*$,3.0)|(******\w \W\w\w\w ****-****$,2.0)|(\W\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,13.0)"
"Term Selector","(\d\d\d\d\W\W-\W\w\w\w \W\w\w\w \d\d\d\d$,18.0)|(\d\d\d\d\W\W-\W\w\w\w\w\w\w \W\w\w\w \d\d\d\d$,38.0)|(\d\d\d\d\W\W-\W\w\w\w\w\w \W\w\w\d \d\d\d\d$,28.0)|(\d\d\d\d\W\W-\W\w\w\w*\w \W\w\w\w \d\d\d\d$,47.0)|(\d\d\d\d\W\W-\W\w\w\w\w\w \W\w\w\w \d\d\d\d$,68.0)|(\d\d\d\d\W\W-\W\w\w\w** \W\w\w\w \d\d\d\d$,22.0)|(\d\d\d\d\W\W-\W\w\w\w\w\w\w \W\w\w\w \d\d\d\d$,18.0)"
"Term Start Date","(\d\d/\d\d/\d\d\d\d$,44.0)|(\d\d/\d\d/\d\d\d\d$,17.0)|(\d\d/\d\d/\d\d\d\d$,35.0)|(\d\d/\d\d/\d\d\d\d$,70.0)|(\d\d/\d\d/\d\d\d\d$,35.0)|(\d\d/\d\d/\d\d\d\d$,14.0)|(\d\d/\d\d/\d\d\d\d$,24.0)"
"Term End Date","(\d\d/\d\d/\d\d\d\d$,15.0)|(\d\d/\d\d/\d\d\d\d$,11.0)|(\d\d/\d\d/\d\d\d\d$,14.0)|(\d\d/\d\d/\d\d\d\d$,34.0)|(\d\d/\d\d/\d\d\d\d$,96.0)|(\d\d/\d\d/\d\d\d\d$,15.0)|(\d\d/\d\d/\d\d\d\d$,55.0)"
"Academic Year","(\d\d\d\d$,17.0)|(\d\d\d\d$,68.0)|(\d\d\d\d$,7.0)|(\d\d\d\d$,38.0)|(\d\d\d\d$,30.0)|(\d\d\d\d$,49.0)|(\d\d\d\d$,31.0)"
"Academic Year Desc","(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,22.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,37.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,54.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,23.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,18.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,27.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,58.0)"
"Is Current Term","(\W$,43.0)|(\W$,15.0)|(\W$,13.0)|(\W$,49.0)|(\W$,33.0)|(\W$,61.0)|(\W$,31.0)"
"Term Status Indicator","(\W$,51.0)|(\W$,29.0)|(\W$,5.0)|(\W$,56.0)|(\W$,36.0)|(\W$,27.0)|(\W$,48.0)"
"Financial Aid Year","(\d\d\d\d$,20.0)|(\d\d\d\d$,18.0)|(\d\d\d\d$,60.0)|(\d\d\d\d$,52.0)|(\d\d\d\d$,14.0)|(\d\d\d\d$,9.0)|(\d\d\d\d$,26.0)"
"Degree Year","(\d\d\d\d$,15.0)|(\d\d\d\d$,14.0)|(\d\d\d\d$,24.0)|(\d\d\d\d$,43.0)|(\d\d\d\d$,28.0)|(\d\d\d\d$,50.0)|(\d\d\d\d$,24.0)"
"Last Day Of Final Exam","(\d\d/\d\d/\d\d\d\d$,62.0)|(\d\d/\d\d/\d\d\d\d$,26.0)|(\d\d/\d\d/\d\d\d\d$,26.0)|(\d\d/\d\d/\d\d\d\d$,39.0)|(\d\d/\d\d/\d\d\d\d$,27.0)|(\d\d/\d\d/\d\d\d\d$,35.0)|(\d\d/\d\d/\d\d\d\d$,24.0)"
"Pre Registration Start Day","(\d\d/\d\d/\d\d\d\d$,9.0)|(\d\d/\d\d/\d\d\d\d$,7.0)|(\d\d/\d\d/\d\d\d\d$,13.0)|(\d\d/\d\d/\d\d\d\d$,46.0)|(\d\d/\d\d/\d\d\d*$,5.0)|(\d\d/\d\d/\d\d\d\d$,10.0)|(\d\d/\d\d/\d\d\d\d$,5.0)"
"Registration Day","(\d\d/\d\d/\d\d\d\d$,50.0)|(\d\d/\d\d/\d\d\d\d$,45.0)|(\d\d/\d\d/\d\d\d\d$,24.0)|(\d\d/\d\d/\d\d\d\d$,41.0)|(\d\d/\d\d/\d\d\d\d$,27.0)|(\d\d/\d\d/\d\d\d\d$,27.0)|(\d\d/\d\d/\d\d\d\d$,25.0)"
"First Day Of Classes","(\d\d/\d\d/\d\d\d\d$,31.0)|(\d\d/\d\d/\d\d\d\d$,5.0)|(\d\d/\d*/\d\d\d*$,5.0)|(\d\d/\d\d/\d\d\d\d$,5.0)|(\d\d/\d\d/\d\d\d\d$,19.0)|(\d\d/\d\d/\d\d\d\d$,21.0)|(\d\d/\d\d/\d\d\d\d$,10.0)"
"Last Day Of Classes","(\d\d/\d\d/\d\d\d\d$,21.0)|(\d\d/\d\d/\d\d\d\d$,28.0)|(\d\d/\d\d/\d\d\d\d$,6.0)|(\d\d/\d\d/\d\d\d\d$,1.0)|(\d\d/\d\d/\d\d\d\d$,12.0)|(\d\d/\d\d/\d\d\d\d$,19.0)|(\d\d/\d\d/\d\d\d\d$,9.0)"
"Graduate Award Start Date","(\d\d/\d\d/\d\d\d\d$,34.0)|(\d\d/\d\d/\d\d\d\d$,13.0)|(\d\d/\d\d/\d\d\d\d$,35.0)|(\d*/**/\d\d**$,2.0)|(\d\d/\d\d/\d\d\d\d$,8.0)|(\d\d/\d\d/\d\d\d\d$,8.0)|(\d\d/\d\d/\d\d\d\d$,16.0)"
"Graduate Award End Date","(\d\d/\d\d/\d\d\d\d$,10.0)|(\d\d/\d\d/\d\d\d\d$,8.0)|(\d\d/\d\d/\d\d\d\d$,4.0)|(\d\d/\d\d/\d\d\d\d$,6.0)|(\d\d/\d\d/\d\d\d\d$,21.0)|(\d\d/\d\d/\d\d\d\d$,19.0)|(\d\d/\d\d/\d\d\d\d$,48.0)"
"Warehouse Load Date","(\d\d/\d\d/\d\d\d\d$,24.0)|(\d\d/\d\d/\d\d\d\d$,55.0)|(\d\d/\d\d/\d\d\d\d$,11.0)|(\d\d/\d\d/\d\d\d\d$,40.0)|(\d\d/\d\d/\d\d\d\d$,46.0)|(\d\d/\d\d/\d\d\d\d$,48.0)|(\d\d/\d\d/\d\d\d\d$,15.0)"
"address-phno.csv"
"address/phone","(******\w\w\d\W\d\W\w\d\W\d\W\w $,44.0)|(\d\w\d\d\W\d\d*\d\d\d\d\d\d\d$,10.0)|(*\d\d*\d*\d*\d*\d*\d*\d\d\d-***$,16.0)|(******\d\d\d\W\d\d\d\d$,2.0)|(\d\d\d\d\d\d\d\d\d\d$,1.0)|(***\d\d-$,2.0)|(\d\d\d\d\d\d\d\d\d\d+.$,16.0)"
"misc.csv"
"miscellaneous","(*****\d\w\w*\w\w\W\W*\W\d\W\W*\w\w\W\W*\w\d\d\w\d\w\d\w\d\d\W\W&;=$,15.0)|(************\w\w*\w\w**\d*\w\w***********$,2.0)|(******\d\d\d*\d\d\d\d*\d\d\d\d$,2.0)|(\d\w\W*\W*\w\W\d\d\d\d\d\d\d\d\d\d\d+()-$,7.0)|(\w\W\w\w\w\w\W\W\d\W$,1.0)|(*\d\d*\W****\w\w*********************************@@@@@@@@$,25.0)|(\W\w\w\w*\d\w*\W\w\d*\d\w*\w\w\W*\W\W\d\W\W*\d\d*\d\d*\d\d\d*\d\d\d\d*\w\w\w\W\w\W\W\W*\W\w\w\w\w\W\W\w\w\W\w*\W\w\d\d\d\d\d\d\W***\w\w\w\w*\d\d\d\d\d\d\d\d\d\d*\d\d\d\d\W\W**\W\w\w*\W\W*\w\W***\W\w\W*******\w\w***\w\w**\W\W\W\W\W\W**\w\w\W\W*\w\w**\d\d\d\d\d\d\d\d\d\d\d\d***\w\w\w\d*\d\w\W\w\w\d\d\w*\d\W\w\d*\d\d\W\d*\w\w\d\d\d\w\W\w\w\W\W\w\w\d\W\W********\d\d\d*\d\d*\d\d\d*\d\d\d*\w\w\d\W\W\W\d\W\w\W\d*\w\w\w\w\W*\W\w\w\w\w****\W\w\w\w\w\w\w\w\w\w**\w\w\w\W\W\w***\W\W\W\W\W\W\W*\w\w\w*\w********\w**\W\w\w\W\W\w*\d\d\d\d\d\W\d\d\d\W\d\d\d**\d\d\d\d\d\d\d\d\d\d\d\d**\d\d\d\d\d\d\d\d*\d\d\d\d\d\d*\d\d\d\d\d**\w\w*\w\w\w\w\w******\W\d\W\W****\w\w\W******\w\d\W*\w\W\d\w\W\w**\w\w\w\w*\w\d\W\W$,47.0)"
"url.csv"
"url","(*\w****\w\w\w:*\W\w\w\w\w\w\w\w\W\w\w\w\w\w\w**\w\w\w\w*\d\d\d\d*\d\d*\d\d*\d]$,2.0)|(\w\w\w\w***\d\W\w\w\W\w\W\W\d*\W\W*\W\w$,2.0)|(*********\w\w\w\w\w\d\w\w.****\W*\w\w\w\w*\w\w\d\w\w\w\d\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w.\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\d\d\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\d\w\w\d\w\d\w\w\d\d\w\w\w\w\w\w\w\w\w\w\w\w\w\d\w\w\w\w\w\d\d\w\w\w\w\w\w\w\w\w$,15.0)|(\w***://\d\W*\w:\W\w\w\W\W\W\W/\w\w\W\d\W\w/\d\w.\w\w.\w\W\W\d\w\w\w.\w\W\w\W\w\d$,4.0)|(\w\d\w:\d\d\w\w\d\w\W\w\w\w\d\W/\W/*******\w\w\d\w\W.***\w:***%**********\W\w\W***\W\W**\W***\W\W*\w*\w*********\W\W*\w\d\W\d\w\W\W**\W\W*\d\w\W\w*******\W\W*\W*****$,6.0)|(*\W\w\w**\W\d\W\w://./&$,6.0)|(*\d\d\w\d\d\d\w://}@/!$,12.0)"
