"short_subject_offered_summary.csv"
"Offer Dept Name","(\W\w\w\w\w** \W\w\w**-\W\w\w\w\w\w\w\w\w\w \W\w\w\w$,85.0)|(\W\w\w\w\w** \W\w\w**-\W\w\w\w\w\w\w\w\w\w \W\w\w\w$,92.0)|(\W\w\w\w\w*\w\w\w\w**\w\w***\W\w\w\w\w\w\w\w*\W\w\w$,62.0)|(\W\w\w\w\w*\w\w\w\w**************\w***\w$,66.0)|(\W\w\w\w\w\w\W\w\w\w**********\w\w\w\w*\W\w\w$,10.0)|(\W\w\w\w\w \W\w\w-* \W\w\w$,706.0)|(**********\w*\w\w\w*\W\w\w\w\w\w\w\w\w\w\w\w$,2.0)"
"Offer School Name","(\W\w\w\w\w\W\w\w\w\w\w$,100.0)|(\W\w\w*\W\w\w\w\w\w\w$,193.0)|(\W\w\w**\w\W$,163.0)|(\W\w\w*\W\W\W\w\w\w\w$,140.0)|(\W\w\w*\W\W\w\w\w\w\w$,120.0)|(\W\w\w\w\W\w\W\w\w\w\w$,207.0)|(\W\w\w*\W\w\W$,93.0)"
"Responsible Faculty Name","(\W\w\w**, \W\w*\w*\w$,136.0)|(\W\w**\w\w\w\w\w\w\w\w\w, \W***\w\w\w$,78.0)|(\W\w\w\w\w**\w, \W\w\w\w\w\w*$,41.0)|(\W\w\w\w\w\w, \W\w\w\w\w\w\w\w\w$,22.0)|(\W\w\w\w\w**\w\w\w\w, \W\w\w\w*\w\w\w$,60.0)|(\W\w\w*****\w\w\w\w, \W\w\w*\w*\w$,45.0)|(\W\w\w\w, \W*****\w\w\w\w$,66.0)"
"Responsible Faculty Mit Id","(\d\d\d\d\d\d\d\d\d$,97.0)|(\d\d\d\d\d\d\d\d\d$,46.0)|(\d\d\d\d\d\d\d\d\d$,38.0)|(\d\d\d\d\d\d\d\d\d$,83.0)|(\d\d\d\d\W\d\d*\d$,95.0)|(\d\d\d\d\d\d\d\d\d$,23.0)|(\d\d\d\d\W\d\d\d\d$,66.0)"
"Total Units","(\d\d$,101.0)|(\d$,101.0)|(\d\d$,78.0)|(\d$,131.0)|(\d\d$,100.0)|(\d\d$,90.0)|(\d$,404.0)"
"Lecture Units","(\d$,219.0)|(\d$,28.0)|(\d$,104.0)|(\d$,74.0)|(\d$,136.0)|(\d$,158.0)|(\d$,285.0)"
"Lab Units","(\d\d$,114.0)|(\d\d$,78.0)|(\d$,175.0)|(\d$,128.0)|(\d$,103.0)|(\d$,56.0)|(\d$,346.0)"
"Preparation Units","(\d$,183.0)|(\d$,116.0)|(\d$,114.0)|(\d$,122.0)|(\d$,207.0)|(\d$,152.0)|(\d$,106.0)"
"Subject Enrollment Number","(\d$,264.0)|(\d$,153.0)|(\d$,156.0)|(\d$,109.0)|(\d\d$,110.0)|(\d$,114.0)|(\d$,94.0)"
"Cluster Enrollment Number","(\d\d$,19.0)|(\d*$,18.0)|(**$,2.0)|(\d*\d$,8.0)|(\d\d\d$,16.0)|(\d*$,21.0)|(\d\d$,19.0)"
"Warehouse Load Date","(\d/\d/\d\d \d:\d\d$,138.0)|(\d/\d/\d\d \d:\d\d$,99.0)|(\d/\d/\d\d \d:\d\d$,110.0)|(\d/\d\d/\d\d \d:\d\d$,219.0)|(\d/\d/\d\d \d:\d\d$,106.0)|(\d/\d/\d\d \d:\d\d$,185.0)|(\d/\d/\d\d \d:\d\d$,143.0)"
"Num Enrolled Students","(\d$,96.0)|(\d$,101.0)|(\d$,162.0)|(\d$,95.0)|(\d$,170.0)|(\d$,167.0)|(\d$,208.0)"
"Subject Grouping Key","(\d\d\W\W\d\d\d\d\d\d\d\W\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,112.0)|(\d\d\W\W\d\d\d\d\d\d\W\W\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,85.0)|(\d\d\W\W\d\d\d\d\d\W\d\d\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,107.0)|(\d\d\W\W\d\d\d\d\d\W\d\W\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,58.0)|(\d\d\W\W\d\d\d\d\d\W\W\d\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,28.0)|(\d\d\W\W\d\d\d\d\d\d\d\d\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,40.0)|(\d\d\W\W\d\d\d\d\d\d\W\d\d\d\d\d\W\d\d\d\d\d\d\d\W\W\W\W\d\d\W\W$,121.0)"
"Subject Summary Key","(\W\d.\d\d\d\d\d\d\d\W\W$,57.0)|(\W\d\W.\d\d\d\d\d\d\d\W\W\W$,26.0)|(\W\d\W.\d\d\d\d\d\d\d\W\W$,30.0)|(\W\d\W.\d\W\d\d\d\d\d\d*\W$,23.0)|(\d\d.\d\d\d\d\d\d\d\W\W$,368.0)|(\W.\d\d\d\d\d\d\d\d\W$,19.0)|(\d.\d\d\d\d\d\d\d\d$,476.0)"
"MOCK_DATA.csv"
"id","(\d\d\d$,128.0)|(\d\d\d$,230.0)|(\d\d\d$,91.0)|(\d\d\d$,140.0)|(\d\d\d$,164.0)|(\d\d\d$,143.0)|(\d\d\d$,108.0)"
"first_name","(\W\w\w\w$,653.0)|(\W\w\w\w\w\w\w\w$,76.0)|(\W\w**\w\w\w\w$,4.0)|(\W\w\w\w\w\w$,111.0)|(\W\w\w\w\w\w\w$,26.0)|(\W\w\w\w\w\w\w\w$,59.0)|(\W\w\w*\w\w\w$,71.0)"
"email","(\w\w\w\w\w\w\w\w*@\w\w\w.\w\w\w$,656.0)|(\w\w\w\w\w\w\w\w@\w\w\d.\w\w$,134.0)|(\w\w\w\w\w\w\w\d*\d@\w\w\w\w**\w\w\w\w\w\w\w\w\w.\w\w\w$,13.0)|(\w\w\w\w\w\d\w\w\w\d\d@\w\w\w\w*\w\w\w\w\w\w\w\w.\w\w\w$,56.0)|(\w\w\w\w\w\w\w*\d\w@\w\w**\w**\w\w\w*.\w\w*$,18.0)|(\w\w\w\w\w\w\d\w\d@\w\w\w*\w\w\w\w\w.\w\w\w$,86.0)|(\w\w\w\w\w\w\w*\d@\w\w*\w\w\w\w.\w\w\w$,37.0)"
"gender","(\W\w\w\w$,194.0)|(\W\w\w\w$,47.0)|(\W\w\w\w\w\w$,84.0)|(\W\w\w\w\w\w$,58.0)|(\W\w\w\w\w\w$,38.0)|(\W\w\w\w$,486.0)|(\W\w\w\w\w\w$,93.0)"
"date","(\d/\d/\d\d\d\d$,327.0)|(\d/\d\d/\d\d\d\d$,201.0)|(\d/\d\d/\d\d\d\d$,53.0)|(\d/\d\d/\d\d\d\d$,90.0)|(\d/\d\d/\d\d\d\d$,142.0)|(\d\d/\d/\d\d\d\d$,53.0)|(\d/\d/\d\d\d\d$,134.0)"
"date2","(\d\d/\d\d/\d\d\d\d$,103.0)|(\d\d/\d\d/\d\d\d\d$,137.0)|(\d\d/\d\d/\d\d\d\d$,228.0)|(\d\d/\d\d/\d\d\d\d$,118.0)|(\d\d/\d\d/\d\d\d\d$,166.0)|(\d\d/\d\d/\d\d\d\d$,102.0)|(\d\d/\d\d/\d\d\d\d$,147.0)"
"Sdo_coord_system.csv"
"Coord Sys Id","(\d,\d\d\d$,20.0)|(\d,\d\d\d$,9.0)|(\d,\d\d\d$,4.0)|(\d,***$,2.0)|(\d,\d\d\d$,9.0)|(\d,\d\d\d$,6.0)|(\d,\d\d\d$,16.0)"
"Coord Sys Name","(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\w :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  ***********(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: ***\w, \W\w.  \W\w\W: \W\w\w\w.$,7.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\w :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  \w\w\w\w\w\w\w\w\w\w\w(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: \W\w\W\w, \w\w.  \W\w\W: \w\w\w.$,13.0)|(\W\w\w\w\w\w\w\w\w \W\W \W\W.  ****: *\w\w\w\w\w\w\w, \w\w\w\w\w\w\w (\W,*). \w\w\w\w\w\w\w\w\w\w\w\w: \w\w\w\w\w, \w\w\w\w.  \W\w\W: \w.$,9.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\w :\w\w\w\w\w\w\w\w ,\W\w\w\w\w\w\w\w\w  ***********(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: \w**\w, \w\w.  \W\w\W: \w\w\w\W.$,10.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\W :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  ***********(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: ***\w, **.  \W\w\W: \W\W\W.$,8.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\w :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  \W\w\w\w\w\w\w\w\w\w\w(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: \W\w\W\w, \w\w.  \W\w\W: \W\W\W.$,10.0)|(\W\w\w\w\w\w\w\w\w\w\w \d\W \W\W. \W\w\w\w :\w\w\w\w\w\w\w\w ,\w\w\w\w\w\w\w\w\w  ***********(\w\w\w\w\w\w,)\W\w\w\w\w\w\w\w\w\w\w\w. \w\w\w\w\w: ***\w, **.  \W\w\W: \W\W\W.$,8.0)"
"Coord Sys Type","(\W\w\w\w\w\w\w\w\w$,17.0)|(\W\w\w\w\w\w\w\w\w\w\w$,11.0)|(\w\w\w\w\w\w\w\w\w\w\w$,4.0)|(\W\w\w\w\w\w\w*\w\w\w$,9.0)|(\w\w\w\w\w\w\w\w\w\w\w$,7.0)|(\W\w\w\w\w\w\w\w\w\w\w$,10.0)|(\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w$,8.0)"
"Dimension","(\d.\d\d$,32.0)|(\d.\d\d$,5.0)|(\d.\d\d$,7.0)|(\d.\d\d$,1.0)|(\d.\d\d$,4.0)|(\d.\d\d$,4.0)|(\d.\d\d$,13.0)"
"Information Source","(\W\W\W\W$,15.0)|(\W\W\W\W$,9.0)|(\W\W\W\W$,20.0)|(*****\W\W\W*\W\w\w\w\w\w\w\w\w\w$,2.0)|(\W\W\W\W$,3.0)|(\W\w\W\W$,8.0)|(\W\W\W\W$,9.0)"
"Data Source","(\W\W\W\W$,14.0)|(\W\W\W\W$,14.0)|(\W\W\W\W$,1.0)|(\W\W\W\W$,13.0)|(\W\W\W\W$,5.0)|(\W\W\W\W$,6.0)|(\W\W\W\W$,15.0)"
"Academic_terms_all.csv"
"Academic Terms Key","(\d\d\d\d\W\W$,38.0)|(\d\d\d\d\W\W$,37.0)|(\d\d\d\d\W\W$,20.0)|(\d\d\d\d\W\W$,24.0)|(\d\d\d\d\W\W$,65.0)|(\d\d\d\d\W\W$,39.0)|(\d\d\d\d\W\W$,18.0)"
"Term Code","(\d\d\d\d\W\W$,46.0)|(\d\d\d\d\W\W$,11.0)|(\d\d\d\d\W\W$,26.0)|(\d\d\d\d\W\W$,64.0)|(\d\d\d\d\W\W$,19.0)|(\d\d\d\d\W\W$,23.0)|(\d\d\d\d\W\W$,53.0)"
"Term Description","(\W\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,6.0)|(\W\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d**$,12.0)|(*\w**** \W\w\w\w \d\d**-\d\d**$,3.0)|(\W\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,7.0)|(*\w**\w\w\w \W\w\w\w ****-\d\d\d*$,2.0)|(\W\w\w\w\w\w \W\w\w\w$,199.0)|(\W\w\w\w** \W\w\w\w \d\d\d\d-\d\d\d\d$,10.0)"
"Term Selector","(\d\d\d\d\W\W-\W\w\w\w \W\w\w\w \d\d\d\d$,18.0)|(\d\d\d\d\W\W-\W\w\w\w\w\w\w \W\w\w\w \d\d\d\d$,31.0)|(\d\d\d\d\W\W-\W\w\w\w\w\w \W\w\w\w \d\d\d\d$,29.0)|(\d\d\d\d\W\W-\W\w\w\w** \W\w\w\w \d\d\d\d$,51.0)|(\d\d\d\d\W\W-\W\w\w\w*\w \W\w\w\w \d\d\d\d$,12.0)|(\d\d\d\d\W\W-\W\w\w\w\w\w \W\w\w\w \d\d\d\d$,58.0)|(\d\d\d\d\W\W-\W\w\w\w\w\w\w \W\w\w\w \d\d\d\d$,40.0)"
"Term Start Date","(\d\d/\d\d/\d\d\d\d$,20.0)|(\d\d/\d\d/\d\d\d\d$,39.0)|(\d\d/\d\d/\d\d\d\d$,7.0)|(\d\d/\d\d/\d\d\d\d$,56.0)|(\d\d/\d\d/\d\d\d\d$,24.0)|(\d\d/\d\d/\d\d\d\d$,24.0)|(\d\d/\d\d/\d\d\d\d$,69.0)"
"Term End Date","(\d\d/\d\d/\d\d\d\d$,39.0)|(\d\d/\d\d/\d\d\d\d$,18.0)|(\d\d/\d\d/\d\d\d\d$,13.0)|(\d\d/\d\d/\d\d\d\d$,57.0)|(\d\d/\d\d/\d\d\d\d$,42.0)|(\d\d/\d\d/\d\d\d\d$,39.0)|(\d\d/\d\d/\d\d\d\d$,32.0)"
"Academic Year","(\d\d\d\d$,74.0)|(\d\d\d\d$,14.0)|(\d\d\d\d$,17.0)|(\d\d\d\d$,37.0)|(\d\d\d\d$,15.0)|(\d\d\d\d$,23.0)|(\d\d\d\d$,59.0)"
"Academic Year Desc","(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,36.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,4.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,8.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,9.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,64.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,87.0)|(\W\w\w\w\w\w\w\w \W\w\w\w \d\d\d\d-\d\d\d\d$,31.0)"
"Is Current Term","(\W$,38.0)|(\W$,88.0)|(\W$,15.0)|(\W$,32.0)|(\W$,86.0)|(\W$,17.0)|(\W$,17.0)"
"Term Status Indicator","(\W$,55.0)|(\W$,35.0)|(\W$,34.0)|(\W$,3.0)|(\W$,9.0)|(\W$,42.0)|(\W$,54.0)"
"Financial Aid Year","(\d\d\d\d$,19.0)|(\d\d\d\d$,30.0)|(\d\d\d\d$,15.0)|(\d\d\d\d$,25.0)|(\d\d\d\d$,31.0)|(\d\d\d\d$,30.0)|(\d\d\d\d$,52.0)"
"Degree Year","(\d\d\d\d$,6.0)|(\d\d\d\d$,24.0)|(\d\d\d\d$,12.0)|(\d\d\d\d$,66.0)|(\d\d\d\d$,16.0)|(\d\d\d\d$,56.0)|(\d\d\d\W$,20.0)"
"Last Day Of Final Exam","(\d\d/\d\d/\d\d\d\d$,71.0)|(\d\d/\d\d/\d\d\d\d$,43.0)|(\d\d/\d\d/\d\d\d\d$,37.0)|(\d\d/\d\d/\d\d\d\d$,30.0)|(\d\d/\d\d/\d\d\d\d$,43.0)|(\d\d/\d\d/\d\d\d\d$,7.0)|(\d\d/\d\d/\d\d\d\d$,8.0)"
"Pre Registration Start Day","(\d\d/\d\d/\d\d\d\d$,10.0)|(\d\d/\d\d/\d\d\d*$,4.0)|(\d\d/\d\d/\d\d\d\d$,44.0)|(\d\d/\d\d/\d\d\d\d$,5.0)|(\d\d/\d\d/\d\d\d\d$,20.0)|(\d\d/\d\d/\d\d\d*$,6.0)|(\d\d/\d\d/\d\d\d\d$,6.0)"
"Registration Day","(\d\d/\d\d/\d\d\d\d$,27.0)|(\d\d/\d\d/\d\d\d\d$,29.0)|(\d\d/\d\d/\d\d\d\d$,53.0)|(\d\d/\d\d/\d\d\d\d$,39.0)|(\d\d/\d\d/\d\d\d\d$,40.0)|(\d\d/\d\d/\d\d\d\d$,25.0)|(\d\d/\d\d/\d\d\d\d$,26.0)"
"First Day Of Classes","(\d\d/\d\d/\d\d\d\d$,15.0)|(\d\d/\d\d/\d\d\d\d$,26.0)|(\d\d/\d\d/\d\d\d\d$,16.0)|(\d*/\d*/****$,2.0)|(\d\d/\d\d/\d\d\d\d$,16.0)|(\d\d/\d\d/\d\d\d\d$,7.0)|(\d\d/\d\d/\d\d\d\d$,14.0)"
"Last Day Of Classes","(\d\d/\d\d/\d\d\d\d$,21.0)|(\d\d/\d\d/\d\d\d\d$,24.0)|(\d\d/\d*/\d\d\d*$,4.0)|(\d\d/\d\d/\d\d\d\d$,6.0)|(\d\d/\d\d/\d\d\d\d$,20.0)|(\d\d/\d\d/\d\d\d*$,6.0)|(\d\d/\d\d/\d\d\d\d$,15.0)"
"Graduate Award Start Date","(\d\d/\d\d/\d\d\d\d$,47.0)|(\d\d/\d\d/\d\d\d\d$,1.0)|(\d\d/\d\d/\d\d\d\d$,4.0)|(\d\d/\d\d/\d\d\d\d$,5.0)|(\d\d/\d\d/\d\d\d\d$,8.0)|(\d\d/\d\d/\d\d\d\d$,12.0)|(\d\d/\d\d/\d\d\d\d$,39.0)"
"Graduate Award End Date","(\d\d/\d\d/\d\d\d\d$,24.0)|(\d\d/\d\d/\d\d\d\d$,5.0)|(\d\d/\d\d/\d\d\d\d$,15.0)|(\d\d/\d\d/\d\d\d*$,4.0)|(\d\d/\d\d/\d\d\d\d$,30.0)|(\d\d/\d\d/\d\d\d\d$,7.0)|(\d\d/\d\d/\d\d\d\d$,32.0)"
"Warehouse Load Date","(\d\d/\d\d/\d\d\d\d$,17.0)|(\d\d/\d\d/\d\d\d\d$,6.0)|(\d\d/\d\d/\d\d\d\d$,98.0)|(\d\d/\d\d/\d\d\d\d$,85.0)|(\d\d/\d\d/\d\d\d\d$,20.0)|(\d\d/\d\d/\d\d\d\d$,5.0)|(\d\d/\d\d/\d\d\d\d$,9.0)"
"address-phno.csv"
"address/phone","(*********\d\d\d$,2.0)|(*\d\d\d\d\W\W\w\W\W\W$,28.0)|(\d\d\d\d\d\d\d*\d\d\d\d\d\d\d*\d\d\d*\d\d\d\d\d\d\d*\d\d\d*\d\d\d\d$,3.0)|(\d\d**\d\d\d\d\d\d-$,13.0)|(\d\d\d\d\d\d*\d\d\d\d.$,6.0)|(******\w\w\d\W\d\W\w\d\W\d\W\w $,21.0)|(\d\d\d\d*\d\d\d\d*\d\d$,18.0)"
"misc.csv"
"miscellaneous","(\d\d\w\W\d\d\w*\W\w\d*\d\w*\w\w\W*\W\W\d\W\W*\d\d*\d\d*\d\d\d*\d\d\d\d*\w\w\w\W\w\W\W\W \W\W$,76.0)|(************\w\w*\w\w**\d*\w\w***********$,2.0)|(\d\d\w\d\W\w\W\W\d\W[)[$,5.0)|(\W\W\W\W\W\W\W\W$,1.0)|(*\w*\d\W\d\W\d*\d\W\W\W*\d\d\d\W*\d\W\W\d*\d\W\W\W\d\W\W\d\W\W\W\d}||||$,8.0)|(\d\d\W\w\d\W\w*\w\w\d\d\w\w\w\w\w\d*\w\w\w\w\w\w\w\w\w\d*\w\w\d\w\w*\w\w\w\w\w\w\w\w\d\w*\w\w\w*\w\d*\w\w\w\w\w*\d\d\d\d\d*-$,5.0)|(*********\d\W\d\d*\W\d\W\W*\W\d\w\W*\w\w\d\d\d\w\w\W\d\d\w\d*,~~%>$,3.0)"
"url.csv"
"url","(\d\d\d\w\d\d\d\w$,1.0)|(****://\d\W*\w \W\w\w\W\W\W\W:\w\w\W\d\W\w/\d\w/\w\w(\w\W\W\d\w\w\w:\w\W\w\W\w\d/\W\w\w\w\w\W\W\W\W/\W\W\W>\W\w\W*\w\W.\W\w\w\w\w\w\W\w.\w./\w\W$,10.0)|(\w\w\w\w\w\w\w\w\w***\w\w\w***\w\w\w*\w\w\w\w*\w\w*\w\w@$,2.0)|(*\w\w\w\w**\d\W\w\w\w\w\w\d\w\w.\w\w\w\w\w\w\w\w\w\w*\w\w\d\w\w\w\d\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w.\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\d\d\w\w\w\w\w\w\w\w\w\w\w\w\w\w\w\d\w\w\d\w\d\w\w\d\d\w\w\w\w\w\w\w\w\w\w\w\w\w\d\w\w\w\w\w\d\d\w\w\w\w\w\w\w\w\w$,24.0)|(*\w****\w\w\w:*\W\w\w\w\w\w\w\w\W\w\w\w\w\w\w**\w\w\w\w*\d\d\d\d*\d\d*\d\d*\d]$,2.0)|(\w\w\w:\d\d\w\w\d\w\W\w\w\w\d\W/\W/\w\w\d\w\w\W\d\w\w\d\w\W_\W\d\d\w.\w\W\w.\W\W*\w\W\d\w*\w\w\W\w\W***\W\W**\W***\W\W*\w*\w*********\W\W*\w\d\W\d\w\W\W**\W\W*\d\w\W\w*******\W\W*\W*****~$,7.0)|(\w\w\w\w\w://\w.\w\W/\w/\d%$,1.0)"
"string.csv"
"string","(\W\W\W**\W\w*\d\d\W**\W*\W\d\w$,3.0)|(*********\W\w\w\d\w\d\w\d**\W\w\W*$,2.0)|(*****\d\d\d\d\d\d\d\d&#;$,8.0)|(\W\W**\w\w.$,10.0)|(\w******\d\d\d\d $,41.0)|(\d\W\w\w\w\d\W\d\d\d\d\d\d*\d\d*\d\d\d\d\d*\d\d\d\d\d\d\d\d\d*\d\d\d\d\d\d*\d\d\d\d\d\d\d\d$,10.0)|(\d\W\W\d\d\w\w\W\W\W\w\d\d\d\d\d\w\w\W\w\w*\w\W\W\W\w\W\w\W*\w\w\w\W\W*\w\W\w\W\w\W\W\w\w\W\w\W`!$,5.0)"
"date-time.csv"
