,type,regex,randomString
13,email,"\w+([-+.]\w+)*@\w+([-.]\w+)*\.\w+([-.]\w+)*([,;]\s*\w+([-+.]\w+)*@\w+([-.]\w+)*\.\w+([-.]\w+)*)*",6qRRvZpxn-OK2dBifk_.C61ooQDD.aKm8+hIpd+xA+Pl6v7DYG-3jslpFlO@DY-Z05StazUWK-4ChGCEx.rD4b1_.H85JT5C5-3Th1itO-G1vK-MX-TM5.Ai7.4Zfk68bG7.bpD.hvVjI8yB-zIGFCUgcH; GYbgt-KkRlCPIwC.2@UkooMNU-IKxFB9-Y8mlx.Hj-0WiTcf9.4SRgfyy.RXOkz7vV.M_EHZCB.DIQoGYFtLw.UX8ng.K.c3V4-g48JznbZH.LiYJzdSR-0IzE6oIspJ.g0DxbjMwm-k3aGDpQ6W; BQU3xNocB-q9VwBvb-K88ZQvPTTh+nNIBYRw5@YL.X-ZGLbWaY.AQuGho_5a1.CS.l6
14,email,"^\w+@[a-zA-Z_]+?\.[a-zA-Z]{2,3}$",0inmUi@ysObEsiEr.EOC
16,email,"^([a-zA-Z0-9_\-\.]+)@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.)|(([a-zA-Z0-9\-]+\.)+))([a-zA-Z]{2,4}|[0-9]{1,3})(\]?)$",j@[213.2.2.tk]
17,email,"^[\w-]+(?:\.[\w-]+)*@(?:[\w-]+\.)+[a-zA-Z]{2,7}$",PYO4q1ZZ.Zng2YB.eMdb.bQrwv.EOGVcD0rh.GreMj_FbRJ.mTMDlyyHsn@vSY.CGL.NgwE.DnI
18,email,^[\n &lt;&quot;']*([a-zA-Z0-9._-]+@[a-zA-Z0-9._-]+),l qq& BeJ@kJz4Y9nv
19,email,"^(([-\w \.]+)|(&quot;&quot;[-\w \.]+&quot;&quot;) )?&lt;([\w\-\.]+)@((\[([0-9]{1,3}\.){3}[0-9]{1,3}\])|(([\w\-]+\.)+)([a-zA-Z]{2,4}))&gt;$",&quot;&quot;3&quot;&quot; &lt;9sOwq@6hBYlm.fHzGQ8u._snUlp0z-0.d.2mm8.HmrL&gt;
20,email,"^([0-9a-zA-Z]([-.\w]*[0-9a-zA-Z])*@(([0-9a-zA-Z])+([-\w]*[0-9a-zA-Z])*\.)+[a-zA-Z]{2,9})$",3pMix8P._eRnCv51gy.Pcgp4uWFyQk9TLFWx6Iw3fU@KgHzdzHh000axe9fk3ro7n6IHBE5mrjyA-zZAVpjOuzfPntDaAl.dB.8aRK2DKEDjmWL2JOYgxbfsP8zAAfVVpySRslgYbIufJdaouDgt8Zc7Yzu08C.xihdP4hWqaSJ3zxdrxFkc9psy6VQMCuYHT5Kq7GJLlxCy_Q_bPePp8lDip.SFlHGoeCNnqsslHceWsLBmHG4.rwtgvPBepCHjbHR_NdFTORGVMEuh5t.sBvrZE7k32e-CJi8FIQ1nm7d.pkeFq9di3T-TPxEwMGOC23SvrkHyiGstqK6E4e8EeyAMUAvYYCEnZKJnBdLbgNC6lUUn2pFJ.0dVEhUT2aisH5vSBiJ6j.AB
21,email,(\w+?@\w+?\x2E.+),0lHKQh@6gZTw.I<EI|.uSr
22,email,"^[_a-zA-Z0-9-]+(\.[_a-zA-Z0-9-]+)*@[a-zA-Z0-9-]+(\.[a-zA-Z0-9-]+)*\.(([0-9]{1,3})|([a-zA-Z]{2,3})|(aero|coop|info|museum|name))$",T3frYJs.LYD6zV5N.zbBdGaZBC2.RBZIVb.sQyPYvp.VrI6HtgpHb.DoezZ9_I-k.O92A.sdZRD.gTmsmKxMH.9BD@FYbuv.02
23,email,"^[\w\.=-]+@[\w\.-]+\.[\w]{2,3}$",v.c.W@oYRpjNy.1B
25,email,"^(?:[a-zA-Z0-9_'^&amp;/+-])+(?:\.(?:[a-zA-Z0-9_'^&amp;/+-])+)*@(?:(?:\[?(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?))\.){3}(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\]?)|(?:[a-zA-Z0-9-]+\.)+(?:[a-zA-Z]){2,}\.?)$",pam'GqAu.Sc.kB.IT0.O2U3S'pY.qpdyp.moJaR./.B.H.YmDxR9-D@[252.[01.[251.234]
28,email,"^\W{0,5}[Rr]e:\W[a-zA-Z0-9]{1,10},\W[a-z]{1,10}\W[a-z]{1,10}\W[a-z]{1,10}","'<<re:%0YTF,}qmg(t]llwddd"
29,email,"^[a-z0-9][a-z0-9_\.-]{0,}[a-z0-9]@[a-z0-9][a-z0-9_\.-]{0,}[a-z0-9][\.][a-z0-9]{2,4}$",c5g.nnj0ef.v@ceb.l.zg
30,email,"^((\""[^\""\f\n\r\t\v\b]+\"")|([\w\!\#\$\%\&\'\*\+\-\~\/\^\`\|\{\}]+(\.[\w\!\#\$\%\&\'\*\+\-\~\/\^\`\|\{\}]+)*))@((\[(((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9])))\])|(((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9]))\.((25[0-5])|(2[0-4][0-9])|([0-1]?[0-9]?[0-9])))|((([A-Za-z0-9\-])+\.)+[A-Za-z\-]+))$",Yu8.Qj50oa.6DEnt4`*f.m3Y$YowYw3.USsuVq/z3.b*XrhXu_3.DiDgLV.!$27|*uTY_@251.245.250.254
31,email,"^([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5})$",GdXR@U0A.Klt
32,email,"^((?:(?:(?:\w[\.\-\+]?)*)\w)+)\@((?:(?:(?:\w[\.\-\+]?){0,62})\w)+)\.(\w{2,6})$",w-l.02+xuwjL4.SC.IS@BLO.f1z-qw.Mw+6Pv.3+yhkN-xR-e-EA53+L-X+x.bg+vK7NnaO+k-D.FU+e-Loxz+j90+wM+P-c.X.pZuj
33,email,"^([\w\-\.]+)@((\[([0-9]{1,3}\.){3}[0-9]{1,3}\])|(([\w\-]+\.)+)([a-zA-Z]{2,4}))$",2RJ9H0bmV@[2.6.46.352]
34,email,"^[\w-]+(\.[\w-]+)*@([a-z0-9-]+(\.[a-z0-9-]+)*?\.[a-z]{2,6}|(\d{1,3}\.){3}\d{1,3})(:\d{4})?$",iCXUEElxu.WXxeS_US.lt3YcmOq@7d20t0.qepzx6.vik92n9.iz6mbxhe.0psj56algx.-2b4.zfd3daa.0-pvn1-l.2.53ic7.4rp0pog.nbhpn:5262
35,email,"^((([a-zA-Z\'\.\-]+)?)((,\s*([a-zA-Z]+))?)|([A-Za-z0-9](([_\.\-]?[a-zA-Z0-9]+)*)@([A-Za-z0-9]+)(([\.\-]?[a-zA-Z0-9]+)*)\.([A-Za-z]{2,})))(;{1}(((([a-zA-Z\'\.\-]+){1})((,\s*([a-zA-Z]+))?))|([A-Za-z0-9](([_\.\-]?[a-zA-Z0-9]+)*)@([A-Za-z0-9]+)(([\.\-]?[a-zA-Z0-9]+)*)\.([A-Za-z]{2,})){1}))*$","Tl,		 	 	jJVBnovI;6_gUoue.HWTuAV8gzS@OUbL5.u9LT-JnNvcy05AWeHYLzU6pW2A-HJof-Z23t.CJYvW6vZhV.QOZzWSN;jKD'A;dtDLeO, oVj;w.AO1njxQ7.Zp-9HqiTTJWO8i_sswb8s_LC_BRnh58gMG_eLujrX@7J-1ONcmKDq-NLW-rNEMkyQ.PNGrSCi;VtKIfcUrl;sVBX0t7EIJXcBi.8QzhmyEvdw0GETE4wk7IGOEsARI2fkgIR.9qictt7@QL3OkrL-JEwBM6H7TcTDobkn-GY9kB4h.768-DCdD1k3pZE.GGxAvhXEQO;hbVVmA'Es;Z.EhxFI0Wb9d.D@xcdSBS0YPPW-pqe8ZmsNmUlQa3.gBhD9rykJNb5q55qMu3Jt-AvELybH9pIBrL-ZFlWYnPXl.IRTxtGQDfX;i.wTi,		  JVZHIAz"
37,url,"((http\://|https\://|ftp\://)|(www.))+(([a-zA-Z0-9\.-]+\.[a-zA-Z]{2,4})|([0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}))(/[a-zA-Z0-9%:/-_\?\.'~]*)?",http://https://http://wwwOhttps://93.0.093.3
38,url,"^((?:2[0-5]{2}|1\d{2}|[1-9]\d|[1-9])\.(?:(?:2[0-5]{2}|1\d{2}|[1-9]\d|\d)\.){2}(?:2[0-5]{2}|1\d{2}|[1-9]\d|\d)):(\d|[1-9]\d|[1-9]\d{2,3}|[1-5]\d{4}|6[0-4]\d{3}|654\d{2}|655[0-2]\d|6553[0-5])$",117.243.9.5:4162
39,url,"^((([0-9A-Fa-f]{1,4}:){7}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}:[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){5}:([0-9A-Fa-f]{1,4}:)?[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){4}:([0-9A-Fa-f]{1,4}:){0,2}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){3}:([0-9A-Fa-f]{1,4}:){0,3}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){2}:([0-9A-Fa-f]{1,4}:){0,4}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}((\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b)\.){3}(\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b))|(([0-9A-Fa-f]{1,4}:){0,5}:((\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b)\.){3}(\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b))|(::([0-9A-Fa-f]{1,4}:){0,5}((\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b)\.){3}(\b((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\b))|([0-9A-Fa-f]{1,4}::([0-9A-Fa-f]{1,4}:){0,5}[0-9A-Fa-f]{1,4})|(::([0-9A-Fa-f]{1,4}:){0,6}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){1,7}:))$",::Bd:B4
48,url,(^\d{3}\x2E\d{3}\x2E\d{3}\x2D\d{2}$),310.618.481-17
49,url,"^(((ht|f)tp(s?))\://)?(www.|[a-zA-Z].)[a-zA-Z0-9\-\.]+\.(com|edu|gov|mil|net|org|biz|info|name|museum|us|ca|uk)(\:[0-9]+)*(/($|[a-zA-Z0-9\.\,\;\?\'\\\+&amp;%\$#\=~_\-]+))*$","L%S.info:808706:4594:395990297:103:27810731:94371126:778:90005441:4:8897854185/MPtl/Jv33//UOC5vr,//pvK#d//vY/c~t92E/"
50,url,^[^\\\/\?\*\&quot;\'\&gt;\&lt;\:\|]*$,s8wJn
51,url,^(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])$,255.156.0.98
53,url,"^(ht|f)tp(s?)\:\/\/[a-zA-Z0-9\-\._]+(\.[a-zA-Z0-9\-\._]+){2,}(\/?)([a-zA-Z0-9\-\.\?\,\'\/\\\+&amp;%\$#_]*)?$",http://yg.bZZC_SewP.EDy_Hqicy.4jr20jWQV.6RL_.e5jZN.rf3Doo5N.hcNO.6xTg6nn/
54,url,"^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$",hvAE7y8xit.q.8.qcalxg4.c.p.x.wvFL
59,url,^(([a-zA-Z]:)|(\\{2}\w+)\$?)(\\(\w[\w ]*.*))+\.(jpg|JPG)$,"t:\jWOHAcBfOz%yh\GPBs3EJ&aSj'\U5c5inj\ACnS4dIla""5{nNV.JPG"
61,url,"(http|ftp|https):\/\/[\w\-_]+(\.[\w\-_]+)+([\w\-\.,@?^=%&amp;:/~\+#]*[\w\-\@?^=%&amp;/~\+#])?",ftp://6.gxAAr.xDVEwcbxI.y0uhS7jZR0.uJglAo2d_.tsK0-D6.RZA0fr2mfq.GEW6T
62,url,^(([a-zA-Z]:)|(\\{2}\w+)\$?)(\\(\w[\w ]*.*))+\.(txt|TXT)$,"C:\B4q+Jv?k_piW\nv4fsYM8hk\BgraZhs1h@Kc0,UvY\sjL0AE_fFH=:.TXT"
63,url,"(?!\.)[a-z]{1,4}$",v
64,url,(a(?:[cdefgilmnoqrstuwxz]|ero|(?:rp|si)a)|b(?:[abdefghijmnorstvwyz]iz)|c(?:[acdfghiklmnoruvxyz]|at|o(?:m|op))|d[ejkmoz]|e(?:[ceghrstu]|du)|f[ijkmor]|g(?:[abdefghilmnpqrstuwy]|ov)|h[kmnrtu]|i(?:[delmnoqrst]|n(?:fo|t))|j(?:[emop]|obs)|k[eghimnprwyz]|l[abcikrstuvy]|m(?:[acdeghklmnopqrstuvwxyz]|il|obi|useum)|n(?:[acefgilopruz]|ame|et)|o(?:m|rg)|p(?:[aefghklmnrstwy]|ro)|qa|r[eosuw]|s[abcdeghijklmnortuvyz]|t(?:[cdfghjklmnoprtvwz]|(?:rav)?el)|u[agkmsyz]|v[aceginu]|w[fs]|y[etu]|z[amw]),qa
65,url,"^(\$)?(([1-9]\d{0,2}(\,\d{3})*)|([1-9]\d*)|(0))(\.\d{2})?$",552664475.52
66,url,^[a-zA-Z0-9]+([a-zA-Z0-9\-\.]+)?\.(com|org|net|mil|edu|COM|ORG|NET|MIL|EDU)$,1WLfJ3kwd96ILjE1.com
67,url,^(([0-2]*[0-9]+[0-9]+)\.([0-2]*[0-9]+[0-9]+)\.([0-2]*[0-9]+[0-9]+)\.([0-2]*[0-9]+[0-9]+))$,212111109413259847417.00121014590917.11089205098936610.18848564
69,url,"[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}",846.154.7.30
70,url,"^(http|https|ftp)\://([a-zA-Z0-9\.\-]+(\:[a-zA-Z0-9\.&amp;%\$\-]+)*@)*((25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])|localhost|([a-zA-Z0-9\-]+\.)*[a-zA-Z0-9\-]+\.(com|edu|gov|int|mil|net|org|biz|arpa|info|name|pro|aero|coop|museum|[a-zA-Z]{2}))(\:[0-9]+)*(/($|[a-zA-Z0-9\.\,\?\'\\\+&amp;%\$#\=~_\-]+))*$","ftp://WuEiU4:wy8cqmawH:Zm:h:Xiw:T:Su9VJcj@ITDbq:5Tp:ZzKY:Tq8:H.O;a%L-UD:%BpJCnsJ:h%4a0r:QueAyl@localhost//;Bey,BhpSa//vOwqDT//"
72,url,"(((file|gopher|news|nntp|telnet|http|ftp|https|ftps|sftp)://)|(www\.))+(([a-zA-Z0-9\._-]+\.[a-zA-Z]{2,6})|([0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}))(/[a-zA-Z0-9\&amp;%_\./-~-]*)?",www.www.www.sftp://news://ftp://www.www.http://ajsMU.rJfLez/|1dmEW
73,url,"^(\$|)([1-9]+\d{0,2}(\,\d{3})*|([1-9]+\d*))(\.\d{2})?$","$3138,936,677,790,208,124,633,728,898,141"
75,url,"([A-Z]:\\[^/:\*\?<>\|]+\.\w{2,6})|(\\{2}[^/:\*\?<>\|]+\.\w{2,6})",\\=ysNi)UYF.S86
77,url,"^(http|https|ftp)\://([a-zA-Z0-9\.\-]+(\:[a-zA-Z0-9\.&amp;%\$\-]+)*@)?((25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])|([a-zA-Z0-9\-]+\.)*[a-zA-Z0-9\-]+\.[a-zA-Z]{2,4})(\:[0-9]+)?(/[^/][a-zA-Z0-9\.\,\?\'\\/\+&amp;%\$#\=~_\-@]*)*$","ftp://g-9cEVrK9:o6VmzDxp3;:c3XAUtBlY:dNnpz:eGmsn0B$:G$VIczJp:.OmEWAoi:Y0m@gIkd.hdUW/nQLhumAKrr/r~Y3a25n/1PXAoRUU?/a/~_wc3aA/icvwX-d,AMS/J43KBqht\/}o/}g?Sj/$0OeSv"
78,url,^DOMAIN\\\w+$,DOMAIN\Bk565XGoY
80,url,"^http\://[a-zA-Z0-9\-\.]+\.[a-zA-Z]{2,3}(/\S*)?$",http://J.FlB/FwlD
81,url,((mailto\:|(news|(ht|f)tp(s?))\://){1}\S+),mailto:A^
82,url,"^(http|https|ftp)\://[a-zA-Z0-9\-\.]+\.[a-zA-Z]{2,3}(:[a-zA-Z0-9]*)?/?([a-zA-Z0-9\-\._\?\,\'/\\\+&amp;%\$#\=~])*$",ftp://9V5O.Sw:U/pM_0
84,url,"\b([\d\w\.\/\+\-\?\:]*)((ht|f)tp(s|)\:\/\/|[\d\d\d|\d\d]\.[\d\d\d|\d\d]\.|www\.|\.tv|\.ac|\.com|\.edu|\.gov|\.int|\.mil|\.net|\.org|\.biz|\.info|\.name|\.pro|\.museum|\.co)([\d\w\.\/\%\+\-\=\&amp;\?\:\\\&quot;\'\,\|\~\;]*)\b",OQAws9.acZ32xfmrLja
85,url,(\s|\n|^)(\w+://[^\s\n]+),g://zfN:JSd\ys
87,url,([^\=&]+)(?<!param1|param2|param3)\=([^\=&]+)(&)?,~4PJiib=00] dU@/*&
88,url,9[0-9],93
89,url,"[a-zA-Z]{3,}://[a-zA-Z0-9\.]+/*[a-zA-Z0-9/\\%_.]*\?*[a-zA-Z0-9/\\%_.=&amp;]*",CTmNCya://lDb8/////////g0jYyD%N????????ajkJxgwz
90,url,^((\d|\d\d|[0-1]\d\d|2[0-4]\d|25[0-5])\.(\d|\d\d|[0-1]\d\d|2[0-4]\d|25[0-5])\.(\d|\d\d|[0-1]\d\d|2[0-4]\d|25[0-5])\.(\d|\d\d|[0-1]\d\d|2[0-4]\d|25[0-5]))$,080.230.254.253
91,url,^([a-zA-Z].*|[1-9].*)\.(((j|J)(p|P)(g|G))|((g|G)(i|I)(f|F)))$,jm.GiF
92,url,"^[^\\\./:\*\?\""<>\|]{1}[^\\/:\*\?\""<>\|]{0,254}$",]@8
94,url,"(((ht|f)tp(s?):\/\/)|(www\.[^ \[\]\(\)\n\r\t]+)|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})\/)([^ \[\]\(\),;&quot;'&lt;&gt;\n\r\t]+)([^\. \[\]\(\),;&quot;'&lt;&gt;\n\r\t])|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})",07.14.4.235
95,url,^\\([^\\]+\\)*[^\/:*?&quot;&lt;&gt;|]?$,"\a/(\6U:\0Uq6HZ\	CI,.\"
96,url,"^(([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}/(DC=['\w\d\s\-\&amp;]+[,]*){2,})|((\d{1,2}|1\d\d|2[0-4]\d|25[0-5])\.(\d{1,2}|1\d\d|2[0-4]\d|25[0-5])\.(\d{1,2}|1\d\d|2[0-4]\d|25[0-5])\.(\d{1,2}|1\d\d|2[0-4]\d|25[0-5])/(DC=['\w\d\s\-\&amp;]+[,]*){2,})|((DC=['\w\d\s\-\&amp;]+[,]*){2,})$","x.OOiX5G.r.HGML3a8SO3in.LzU2fIyk.LV2ZYgLQWuy.j6EqBhwViws.hnRVcZbPl.zY6nW.J.ppKLd/DC=9uMWXmN,DC=K_86fyDC=	j3e21Dd,,,,,,DC=DBT17m5S74,,,,,,,,,DC=MU9 M8S2;e,,,,"
97,url,"^(ht|f)tp((?<=http)s)?://((?<=http://)www|(?<=https://)www|(?<=ftp://)ftp)\.(([a-z][0-9])|([0-9][a-z])|([a-z0-9][a-z0-9\-]{1,2}[a-z0-9])|([a-z0-9][a-z0-9\-](([a-z0-9\-][a-z0-9])|([a-z0-9][a-z0-9\-]))[a-z0-9\-]*[a-z0-9]))\.(co|me|org|ltd|plc|net|sch|ac|mod|nhs|police|gov)\.uk(:\d+)?\/?$",httphttps://ftp://ftp.p5.ac.uk/
